na,candidate_name,party,votes,rank
NA-209,Shazia Jannat Marri,PPP,156723,1
NA-209,Muhammad Khan Junejo,GDA,140370,2
NA-209,Hameeda Masood Shah,Independent,4078,3
NA-209,Muhammad Ali,Independent,1494,4
NA-209,Zaheer ul Sin Babar Jatoi,JIP,1107,5
NA-209,Shahbana Kousar,TLP,903,6
NA-209,Seeta,Independent,503,7
NA-209,Mushtaq,Independent,211,8
NA-209,Quratulain Marri,Independent,194,9
NA-209,Nawab ali,MQM,92,10
NA-209,Aurangzeb,Independent,76,11
NA-209,Asghar Ali,Independent,69,12
NA-209,Abid farooq,Independent,66,13
NA-209,Shagufta,Independent,41,14
NA-209,Salahuddin Junejo,Independent,40,15
NA-209,Meer Afsar Din Talpur,Independent,11,16
