na,candidate_name,party,votes,rank
NA-189,Shamsher Ali Mazari,Independent,83628,1
NA-189,Sardar Riaz Mehmood Khan Mazari,PML-N,73394,2
NA-189,Zahid Mehmood Khan Mazari,Independent,10831,3
NA-189,Qari Ghulam Akbar,TLP,5427,4
NA-189,Khizar Hussain Mazari,Independent,2419,5
NA-189,Muhammad Nasrullah,JUI-F,2331,6
NA-189,Ghulam Mohyu Din urf Shahab,Independent,2274,7
NA-189,Afifa Athar,JIP,1843,8
NA-189,Moeen Azam Mazari,Independent,1193,9
NA-189,Shair Ali Mazari,Independent,1136,10
NA-189,Sardar Safdar Hussain Mazari,Independent,914,11
NA-189,Sangeeta Maryam,Independent,429,12
