na,candidate_name,party,votes,rank
NA-144,Muhammad Raza Hayat Hiraj,Independent,119133,1
NA-144,Syed Abid Hussain Imam,Independent,78384,2
NA-144,Syed Muhammad Mukhtar Hussain,PML-N,28838,3
NA-144,Muhammad Ahsan,Independent,22049,4
NA-144,Muhammad Zaman,PPP,7330,5
NA-144,Muhammad Mushtaq,TLP,4826,6
NA-144,Syed Fakhar Imam,Independent,1016,7
NA-144,Aamir Raza,Independent,990,8
NA-144,Shahbaz Ahmad Khan,Independent,839,9
NA-144,Manzoor Hussain,JIP,818,10
NA-144,Abdul Rauf,PMML,498,11
NA-144,Sultan Ahmad,Independent,457,12
NA-144,Abdul Khaliq Rehmani,PRP,279,13
NA-144,Irfan Ahmad,Independent,260,14
