year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1988,NA-1,Peshawar I,Khyber Pakhtunkhwa,Aftab Ahmad Khan Sherpao,PPP,44658,52.7,,,10.3,4
1988,NA-2,Peshawar II,Khyber Pakhtunkhwa,Khan Bahadar Khan,PPP,24444,42.8,,,8.8,6
1988,NA-3,Peshawar III,Khyber Pakhtunkhwa,Sardar Ali Khan,PPP,28408,36.3,,,4.7,6
1988,NA-4,Peshawar IV,Khyber Pakhtunkhwa,Main Muzaffar Shah,PPP,27902,38.2,,,0.1,6
1988,NA-5,Charsadda,Khyber Pakhtunkhwa,Khan Abdul Wali Khan,ANP,63195,61.9,,,28.2,4
1988,NA-6,Mardan I,Khyber Pakhtunkhwa,Haji Muhammad Yaqoob,PPP,46091,58.9,,,17.8,2
1988,NA-7,Mardan II,Khyber Pakhtunkhwa,Haji Muhamamd Ahmad,JUI-F,23542,28.9,,,1.2,7
1988,NA-8,Swabi,Khyber Pakhtunkhwa,Abdul Khaliq Khan,ANP,40257,35.0,,,2.9,5
1988,NA-9,Kohat,Khyber Pakhtunkhwa,Moulvi Niamatullah,IJI,30554,36.7,,,13.8,9
1988,NA-10,Karak,Khyber Pakhtunkhwa,Maulana Shaheed Ahmad,JUI-D,26411,50.7,,,12.8,7
1988,NA-11,Abbottabad I,Khyber Pakhtunkhwa,Farid Jadoon,Independent,35805,40.3,,,16.4,7
1988,NA-12,Abbottabad II,Khyber Pakhtunkhwa,Sardar Haji Gul Khattab Khan,IJI,31655,39.2,,,8.7,6
1988,NA-13,Abbottabad III Complete,Khyber Pakhtunkhwa,Raja Sikandar Zaman Khan,IJI,60128,62.0,,,36.1,3
1988,NA-14,Mansehra Complete,Khyber Pakhtunkhwa,Syed Qasim Shah,Independent,34363,43.2,,,9.7,5
1988,NA-15,Mansehra II,Khyber Pakhtunkhwa,Nawabzada Salah-ud-din Saeed Khan,Independent,20868,36.6,,,11.0,7
1988,NA-16,Mansehra,Khyber Pakhtunkhwa,Haji Muhammad Ayub Khan,IJI,11294,36.0,,,1.3,3
1988,NA-17,Kohistan,Khyber Pakhtunkhwa,Fazl-e-Haq,IJI,5525,31.6,,,9.8,5
1988,NA-18,D.I Khan,Khyber Pakhtunkhwa,Moulana Fazal-ur-Rehman,JUI-F,62472,41.6,,,18.1,7
1988,NA-19,Bannu I,Khyber Pakhtunkhwa,Maulvi Ali Akbar,JUI-F,19094,33.9,,,11.5,12
1988,NA-20,Bannu II,Khyber Pakhtunkhwa,Anwar Saifullah,IJI,37572,49.8,,,10.3,8
1988,NA-21,Swat I,Khyber Pakhtunkhwa,Shahzada Amani Room,PPP,28739,41.3,,,10.1,3
1988,NA-22,Swat II,Khyber Pakhtunkhwa,Hafiz Fazal Razik,IJI,16639,24.6,,,0.7,7
1988,NA-23,Swat 3,Khyber Pakhtunkhwa,Mehboob ur Rehman,PPP,23613,30.6,,,1.3,6
1988,NA-24,Chitral,Khyber Pakhtunkhwa,Begum Nusrat Bhutto,PPP,32819,56.2,,,16.1,4
1988,NA-25,Dir,Khyber Pakhtunkhwa,Fathullah,IJI,35288,47.3,,,8.5,3
1988,NA-26,Malakand,Khyber Pakhtunkhwa,Muhammad Hanif Khan,PPP,39174,44.5,,,18.0,6
1988,NA-27,Tribal Area,FATA,Qadar Gull,Independent,3198,46.4,,,0.1,10
1988,NA-28,Tribal Area,FATA,Akhundzada Muhammad Saeed Parachamkani,Independent,630,51.5,,,6.5,4
1988,NA-29,Tribal Area III,FATA,Ghazi Said Jamal,Independent,2744,45.6,,,21.1,10
1988,NA-30,Tribal Area IV  1988,FATA,Malik Haji Nadir Khan,Independent,485,45.3,,,16.1,6
1988,NA-31,Tribal Area Full,FATA,Haji Sakhi Jan,Independent,739,72.0,,,48.7,4
1988,NA-32,Tribal Area,FATA,Bismillah Khan,Independent,1506,40.6,,,8.8,4
1988,NA-33,Tribal Area,FATA,Malik Waris Khan,Independent,1035,38.0,,,5.8,3
1988,NA-34,Tribal Area,FATA,Malik Momin Khan,Independent,521,45.5,,,4.4,4
1988,NA-35,Islamabad Full,Islamabad Capital Territory,Raja Pervez Khan,PPP,39994,37.3,,,15.3,14
1988,NA-36,Rawalpindi I,Punjab,Shahid Khaqan Abbasi,Independent,47295,34.4,,,1.6,4
1988,NA-37,Rawalpindi II,Punjab,Raja Muhammad Zahir Khan,IJI,61188,44.0,,,15.7,5
1988,NA-38,Rawalpindi III,Punjab,Sheikh Rasheed Ahmad,IJI,73052,53.4,,,11.2,7
1988,NA-39,Rawalpindi IV,Punjab,Raja Shahid Zafar,PPP,60701,41.8,,,11.0,6
1988,NA-40,Rawalpindi V,Punjab,Nisar Ali Khan,IJI,64186,52.3,,,5.1,5
1988,NA-41,Attock I Complete,Punjab,Malik Muhammad Aslam,PPP,47676,49.8,,,12.1,5
1988,NA-42,Attock II,Punjab,Amir Muhammad Khan,PPP,67729,42.5,,,9.9,3
1988,NA-43,Chakwal,Punjab,Lt. General Abdul Majeed Malik,IJI,61621,43.3,,,6.1,5
1988,NA-44,Chakwal II,Punjab,Sardar Mansoor Hayyat Khan,IJI,75928,55.5,,,10.9,2
1988,NA-45,Jhelum I,Punjab,Raja Muhammad Afzal Khan,IJI,49041,41.2,,,10.4,6
1988,NA-46,Jhelum II,Punjab,Nawabzada Iqbal Mehdi,Independent,42255,41.9,,,1.5,6
1988,NA-47,Sargodha I,Punjab,Ehsan ul Haq Piracha,PPP,55089,50.3,,,2.4,4
1988,NA-48,Sargodha II Full,Punjab,Chaudhary Qadir Bakhsh Meela,PPP,44651,41.5,,,12.1,6
1988,NA-49,Sargodha III,Punjab,Haji Muhammad Javaid Iqbal Cheema,IJI,65210,52.2,,,6.3,6
1988,NA-50,Sargodha IV,Punjab,Chaudhary Anwar Ali Cheema,IJI,71264,54.7,,,19.6,6
1988,NA-51,Sargodha Khushab,Punjab,Malik Muhammad Naeem Khan,IJI,81522,60.4,,,24.9,6
1988,NA-52,Khushab,Punjab,Malik Khuda Bukhsh Tiwana,Independent,56750,47.7,,,16.5,5
1988,NA-53,Mianwali I Full,Punjab,Maulana Abdul Sattar Khan Niazi,PAI,44847,67.9,,,52.8,7
1988,NA-54,Mianwali II Full,Punjab,Doctor Sher Afghan Khan Niazi,PAI,42699,39.2,,,2.0,7
1988,NA-55,Bhakkar I,Punjab,Muhammad Zafar Ullah Khan,Independent,49480,43.5,,,9.7,3
1988,NA-56,Bhakkar II,Punjab,Rasheed Akbar Khan Nawani,Independent,49233,46.5,,,12.2,3
1988,NA-57,Faisalabad I,Punjab,Chaudhary Muhammad Nazir Ahmad,Independent,60204,47.1,,,1.1,5
1988,NA-58,Faisalabad II,Punjab,Rai Muhammad Aslam Khan,PPP,54868,54.7,,,13.3,3
1988,NA-59,Faisalabad III,Punjab,Khan Shahadat Ali Khan Baloch,PPP,50414,53.4,,,13.4,3
1988,NA-60,Faisalabad IV,Punjab,Chaudhary Abdus Saboor Khan,PPP,28013,26.5,,,3.6,9
1988,NA-61,Faisalabad V,Punjab,Chaudhary Muhammad Nazeer Ahmad,IJI,71782,55.7,,,13.2,3
1988,NA-62,Faisalabad VI,Punjab,Ghulam Mustafa Bajwa,IJI,48019,53.5,,,10.7,3
1988,NA-63,Faisalabad VII,Punjab,Nisar Akbar Khan,PPP,54251,48.7,,,7.4,7
1988,NA-64,Faisalabad VIII,Punjab,Ahmad Saeed Awan,PPP,54438,47.3,,,4.1,10
1988,NA-65,Faisalabad IX,Punjab,Mehar Abdur Rasheed,PPP,69604,52.9,,,9.1,6
1988,NA-66,Jhang I,Punjab,Amir Hussain Syed,PPP,35761,36.1,,,2.9,4
1988,NA-67,Jhang II,Punjab,Syeda Abida Hussain,Independent,60847,57.8,,,17.8,3
1988,NA-68,Jhang III,Punjab,Syeda Abida Hussain,Independent,47374,39.9,,,7.1,6
1988,NA-69,Jhang IV,Punjab,Syed Faisal Saleh Hayyat,PPP,54268,50.7,,,19.1,5
1988,NA-70,Jhang V,Punjab,Sahibzada Muhamamd Nazir Sultan,PPP,61550,54.8,,,10.1,3
1988,NA-71,Toba Tek Singh I,Punjab,Chaudhary Asard ur Rehman,IJI,65430,53.1,,,11.9,9
1988,NA-72,Toba Tek Singh II,Punjab,Abdul Sattar,IJI,66836,55.4,,,12.7,7
1988,NA-73,Toba Tek Singh III,Punjab,Haji Muhammad Ishaq,PPP,55471,46.8,,,2.8,3
1988,NA-74,Gujranwala I,Punjab,Colonel (R) Ghulam Sarwar Cheema,PPP,72240,51.9,,,4.4,3
1988,NA-75,Gujranwala II,Punjab,Malik Fazal Hussain Khan,PPP,63313,52.9,,,8.9,4
1988,NA-76,Gujranwala III General,Punjab,Al-Haj Amanullah,PPP,63653,49.4,,,2.8,8
1988,NA-77,Gujranwala IV,Punjab,Muhamamd Aslam Lone,PPP,63318,53.1,,,9.0,6
1988,NA-78,Gujranwala V,Punjab,Rana Nazeer Ahmad Khan,IJI,55019,50.6,,,22.6,4
1988,NA-79,Gujranwala VI,Punjab,Chaudhary Ejaz Ahmad,IJI,40967,34.3,,,5.9,4
1988,NA-80,Gujrat I Full,Punjab,Chaudhary Tajamul Hussain,IJI,74852,49.5,,,2.3,3
1988,NA-81,Gujrat II,Punjab,Chaudhary Shujaat Hussain,IJI,78025,51.8,,,5.7,6
1988,NA-82,Gujrat III,Punjab,Chaudhary Muhammad Asghari,PPP,76341,49.1,,,8.1,6
1988,NA-83,Gujrat IV,Punjab,Chaudhary Mumtaz Ahmad Tarar,PPP,50520,40.1,,,7.7,6
1988,NA-84,Gujrat V,Punjab,Umar Hayyat Lailka,IJI,32827,38.0,,,2.0,6
1988,NA-85,Sialkot I,Punjab,Mian Muhamamd Shafi,IJI,59902,56.1,,,17.9,5
1988,NA-86,Sialkot II,Punjab,Amir Hussain,IJI,58545,47.1,,,2.7,5
1988,NA-87,Sialkot III,Punjab,Khurshid Alam,PPP,52676,41.6,,,0.7,4
1988,NA-88,Sialkot IV,Punjab,Mian Muhammad Nawaz Sharif,IJI,45271,45.4,,,14.4,5
1988,NA-89,Sialkot V,Punjab,Alhaj Hamid Nawaz Khan,PPP,32201,31.8,,,0.2,9
1988,NA-90,Sialkot VI,Punjab,Chaudhary Anwar ul Haq,IJI,43901,49.3,,,21.2,6
1988,NA-91,Sialkot VII,Punjab,Chaudhary Anwar Aziz,IJI,31621,37.5,,,4.7,4
1988,NA-92,Lahore I Full,Punjab,Muhammad Hussain Ansari,PAI,46091,47.2,,,1.4,9
1988,NA-93,Lahore II,Punjab,Chudhary Aitzaz Ahsan,PPP,71860,58.4,,,24.9,6
1988,NA-94,Lahore III,Punjab,Benazir Bhutto,PPP,53425,52.1,,,9.4,6
1988,NA-95,Lahore IV Full,Punjab,Mian Nawaz Sharif,IJI,49318,56.3,,,15.1,5
1988,NA-96,Lahore V,Punjab,Jahangir Badar,PPP,43368,50.8,,,5.5,7
1988,NA-97,Lahore VI,Punjab,Khawja Ahmad Tariq Raheem,PPP,56903,48.0,,,1.1,5
1988,NA-98,Lahore VII,Punjab,Mian Muhammad Usman,IJI,51764,47.8,,,3.6,5
1988,NA-99,Lahore VIII,Punjab,Haji Muhammad Asghar,PPP,31283,43.2,,,8.7,6
1988,NA-100,Lahore IX,Punjab,Malik Meraj Khalid,PPP,33903,42.8,,,4.3,7
1988,NA-101,Sheikhupura I,Punjab,Nisar Ahmad S/O Haji Muhammad Malik,PPP,66859,58.9,,,21.1,8
1988,NA-102,Sheikhupura II,Punjab,Malik Mushtaq Ahmad,PPP,44200,38.0,,,10.5,6
1988,NA-103,Sheikhupura III,Punjab,Muhammad Arif Awan,PPP,38380,39.3,,,6.8,5
