na,candidate_name,party,votes,rank
NA-240,Arshad Abdullah Vohra,MQM-P,30573,1
NA-240,Ramzan,Independent,27318,2
NA-240,Syed Zaman Ali Jaffri,TLP,17091,3
NA-240,Saleem Mandvi Wala,PPP,17025,4
NA-240,Syed Abdul Rasheed,JIP,16128,5
NA-240,Sakeena Anwar,PML-N,2513,6
NA-240,Shahnaz,Independent,2161,7
NA-240,Muhammad Tehseen Chaudhary,Independent,466,8
NA-240,Mehdi Ishaq,PMML,343,9
NA-240,Shumaila,GDA,302,10
NA-240,Ali Ahmad Palh,Independent,222,11
NA-240,Raees Uddin,Independent,205,12
NA-240,Muhammad Saleem,Independent,169,13
NA-240,Aleem Adil Sheikh,Independent,121,14
NA-240,Muhammad Aslam,JUP-N,116,15
NA-240,Fazal Haq,Independent,74,16
NA-240,Sabir Ali Bangash,Independent,67,17
NA-240,Abdul Wahab,Independent,48,18
NA-240,Raghib Bashir,Independent,40,19
