na,candidate_name,party,votes,rank
NA-107,Muhammad Riaz Khan Fatyana,Independent,129971,1
NA-107,Chaudhary Asad Ur Rehman,PML-N,96083,2
NA-107,Haider Ali Khan Kharal,Independent,16139,3
NA-107,Hafiz Farukh Saleem Chishti,TLP,14411,4
NA-107,Syed Azher Hasan Shah,Independent,12957,5
NA-107,Sardar Saeed Ahmad Gujjar,Independent,4828,6
NA-107,Malik Amjad Yaqub,PPP,3778,7
NA-107,Haji Muhammad Rizwan Sarwar,PMML,2789,8
NA-107,Syed Iqtidar Hussain Shah,Independent,1999,9
NA-107,Sohail Ahmad Haider,Independent,1259,10
NA-107,Muhammad Ahmad Raza,JIP,747,11
NA-107,Khurram Saeed,Independent,575,12
NA-107,Muhammad Saleem,Independent,379,13
NA-107,Sardar Raheel Anwer,Independent,261,14
NA-107,Sarwar Chaudhary,Independent,137,15
NA-107,Ahsan Riaz,Independent,130,16
NA-107,Bilal Ahmad,Independent,94,17
NA-107,Kamal Ali Khan,Independent,89,18
NA-107,Irfan Ul Hassan Chaudhary,Independent,88,19
NA-107,Ahmad Nawaz,Independent,74,20
NA-107,Rasheed Ahmad,Independent,70,21
NA-107,Mahmood Ul Haq Doagr,Independent,69,22
NA-107,Ghulam Abbas,Independent,56,23
NA-107,Mubarik Ali,Independent,39,24
NA-107,Ghulam Yaseen,Independent,31,25
NA-107,Sajida Abbas Kharal,Independent,31,26
