na,candidate_name,party,votes,rank
NA-66,Muhammad Ahmad Chattha,Independent,160850,1
NA-66,Dr. Nisar Ahmad Cheema,PML-N,100684,2
NA-66,Muhammad Akram Arain,TLP,18974,3
NA-66,Nasir Mehmood Kalyar,JIP,6981,4
NA-66,Ejaz Ahmad Samma,PPP,4922,5
NA-66,Ain Ahmad,Independent,3967,6
NA-66,Shahbaz Ahmad Cheema,Independent,2579,7
NA-66,Ch. Ansar Javed Tarar,PMML,2245,8
NA-66,Asjad Hussain,PAT,747,9
NA-66,Muhammad Shabir Akram,Independent,381,10
NA-66,Malik Abdul Rehman Sadiq,Independent,287,11
NA-66,Omar Khalid Cheema,Independent,277,12
NA-66,Mumtaz Ahmad Cheema,Independent,274,13
NA-66,Ijaz Ahmad,Independent,273,14
NA-66,Rana Arshad Iqbal,Independent,189,15
NA-66,Ahmad Hassan Chattha,Independent,155,16
NA-66,Tasadduq Hussain Cheema,Independent,138,17
NA-66,Choudhary Adil Bakhsh Chattha,Independent,107,18
NA-66,Muhammad Fayaz Chattha,Independent,94,19
NA-66,Muntazir Mehdi,MWM,72,20
NA-66,Sahibzada Shah Jahan,Independent,68,21
NA-66,Fiaz Hussain Cheema,Independent,65,22
NA-66,Choudhary Khizar Abbas,Independent,59,23
NA-66,Choudhary Ijaz Ahmad Cheema,Independent,53,24
NA-66,Mubasar Hussain Cheema,Independent,47,25
NA-66,Ikhlaq Haidar,Independent,46,26
NA-66,Choudhary Zaffar Ullah Khan,Independent,44,27
