na,candidate_name,party,votes,rank
NA-171,Mumtaz Mustafa,Independent,103834,1
NA-171,Makhdum Hashim Jawan Bakht,Independent,56028,2
NA-171,Makhdoom Tahir Rashid ud Din Shah,PPP,49019,3
NA-171,Makhdoom Moein ud Din Ali Hashmi,PML-N,10645,4
NA-171,Allama Muhammad Farooq ul Hassan,TLP,9146,5
NA-171,Shafiq Ahmad Rauf,JIP,2387,6
NA-171,Makhdoom Hassan Raza Hashmi,Independent,1632,7
NA-171,Ahmad Khan,Independent,1609,8
NA-171,Shahid Nawaz,Independent,1031,9
NA-171,Rashid Saeed Khan,Independent,461,10
NA-171,Samina Bibi,Independent,405,11
