na,candidate_name,party,votes,rank
NA-123,Mian Muhammad Shehbaz Sharif,PML-N,63953,1
NA-123,Afzaal Azeem Pahat,Independent,48489,2
NA-123,Amjad Naeem,TLP,20160,3
NA-123,Mian Muhammad Saleem,Independent,8457,4
NA-123,Muhammad Zia Ul Haq,PPP,5698,5
NA-123,Liaqat Baloch,JIP,3207,6
NA-123,Rashid Mahmood,PMML,1557,7
NA-123,Haider Ali,JUI-F,1389,8
NA-123,Abdul Samad Khan,Independent,809,9
NA-123,Muzammil Hussain,Independent,664,10
NA-123,Atif Atta,PTE,505,11
NA-123,Latif Ahmed Hussain,PAT,391,12
NA-123,Muhammad Zahid Bashir,Independent,217,13
NA-123,Tariq Shabbir,Independent,77,14
NA-123,Arshad Hussain,Independent,76,15
