na,candidate_name,party,votes,rank
NA-92,Rasheed Akbar Khan Nawani,Independent,143604,1
NA-92,Muhammad Afzal Khan Dhandla,Independent,131789,2
NA-92,Zaheer Abbas Naqvi,Independent,38918,3
NA-92,Muhammad Amjad Jameel,TLP,13320,4
NA-92,Rafiq Ahmad Khan Niazi,Independent,7532,5
NA-92,Muhammad Safi Ullah,JUI-F,3531,6
NA-92,Ejaz Ali Khan Shahani,PPP,3425,7
NA-92,Muhammad Sher Chheena,Independent,2821,8
NA-92,Farhan Nisar,Independent,1211,9
NA-92,Malik Matee Ullah,JIP,1098,10
NA-92,Tahir Hameed Khan,Independent,716,11
NA-92,Abdul Rehman,Independent,643,12
NA-92,Habib Ullah Khan Shahani,Independent,491,13
NA-92,Syed Ali Abbas Shah Bukhari,Independent,118,14
