na,candidate_name,party,votes,rank
NA-163,Muhammad Ijaz Ul Haq,PML-Z,84343,1
NA-163,Ch. Shoukat Mehmood Basra,Independent,75198,2
NA-163,Noor Ul Hassan Tanvir,PML-N,72182,3
NA-163,Pir Hafiz Muhammad Ahmad Bukhari,TLP,19280,4
NA-163,Chaudhary Shahid Anjum,KI,5676,5
NA-163,Mian Aitzaz Rasheed,PPP,5619,6
NA-163,Israr Hasan,Independent,3162,7
NA-163,Waheed Ahmad,JUI-F,2340,8
NA-163,Muhammad Umar Farooq Ramay,JIP,1616,9
NA-163,Fatima Tahir Cheema,Independent,1539,10
NA-163,Khalid Hussain,Independent,1047,11
NA-163,Hafiz Ameer Hamza,PMML,840,12
NA-163,Munawar Ali Naveed,Independent,557,13
NA-163,Muhammad Aamir Watto,Independent,426,14
NA-163,Mian Abdul Wahid,Independent,302,15
NA-163,Mian Abdul Rasheed,Independent,222,16
NA-163,Tallat Mehmood,Independent,161,17
NA-163,Zafar Iqbal Chaudhry,Independent,132,18
NA-163,Abdul Mannan,Independent,41,19
