na,candidate_name,party,votes,rank
NA-105,Usama Hamza,Independent,138494,1
NA-105,Chaudhary Khalid Javed Warraich,PML-N,108003,2
NA-105,Muhammad Mazhar Mahmood,TLP,15002,3
NA-105,Abdul Rauf,KIAP,8551,4
NA-105,Atta Ullah Hameed,JIP,3837,5
NA-105,Sarshar Hassan Cheema,PPP,3250,6
NA-105,Mohsin Raza,Independent,2874,7
NA-105,Hassam Ali,Independent,2587,8
NA-105,Taj Mehmood,PMML,1266,9
NA-105,Mujahid Islam,Independent,547,10
NA-105,Muhammad Khalid Bashir,Independent,289,11
NA-105,Farkhanda Amjad,Independent,222,12
NA-105,Ikrema Hamza,Independent,158,13
NA-105,Muhammad Arshad,Independent,134,14
NA-105,Irfan Ghafoor,Independent,107,15
NA-105,Mushtaq Ahmad Ishtiaq Dhool,Independent,81,16
NA-105,Arslan Khan Manj,AJPP,71,17
