na,candidate_name,party,votes,rank
NA-184,Abdul Qadir Khan Khosa,PML-N,112296,1
NA-184,Ali Muhammad,Independent,109856,2
NA-184,Sardar Zulfiqar Ali Khan Khosa,Independent,8643,3
NA-184,Irfan Ullah,TLP,8633,4
NA-184,Sardar Karam Khan,JIP,2553,5
NA-184,Abdul Aziz,JUI-F,2409,6
NA-184,Ahmed Bakhsh,PMML,749,7
NA-184,Akhlaq Ahmad,Independent,710,8
NA-184,Ghulam Mustafa Lashari,Independent,698,9
NA-184,Sardar Javaid Akhtar Khan Lund,Independent,545,10
NA-184,Arshad Abbas Khan Lund,Independent,454,11
NA-184,Muhammad Zaman,Independent,173,12
