na,candidate_name,party,votes,rank
NA-19,Asad Qaiser,Independent,115719,1
NA-19,Maulana Fazal Ali Haqqani,JUI-F,45764,2
NA-19,Shah Nawaz Khanzada,ANP,24226,3
NA-19,Sitara Ayaz,Independent,8144,4
NA-19,Khalil Ahmed Mukhlis,JUI-N,5851,5
NA-19,Umar Gul Jadoon,JIP,4976,6
NA-19,Muhammad Bilal Khan Sherpao,PPP,3541,7
NA-19,Meraj Hamayun Khan,Independent,1207,8
NA-19,Sayed Nadeem Shah,NDM,985,9
NA-19,Wasim Shah,Independent,882,10
NA-19,Muhammad Razzaq,Independent,533,11
NA-19,Yousaf Ali,Independent,295,12
NA-19,Khalid Mehmood,JUI-S,263,13
NA-19,Khanzada Arsalan Khan,Independent,169,14
NA-19,Waleed Ahmad (Retired),TDP,164,15
NA-19,Umat Khan,Independent,127,16
