na,candidate_name,party,votes,rank
NA-177,Muhammad Muazzam Ali Khan Jatoi,Independent,114057,1
NA-177,Syeda Shehr Bano Bokhari,PML-N,68333,2
NA-177,Rao Atif Ali Khan,TLP,15682,3
NA-177,Muhammad Zafar Ullah Khan Laghari,PPP,5606,4
NA-177,Liaqat Ali,Independent,5032,5
NA-177,Syed Haroon Ahmad Sultan Bukhari,JUI-F,4405,6
NA-177,Ashiq Hussain Khan,Independent,4180,7
NA-177,Shahzaib Ahmad,Independent,1531,8
NA-177,Muhammad Zia Ullah Khan Jatoi,Independent,1180,9
NA-177,Muhammad Zahid,JIP,506,10
NA-177,Syed Basit Ahmad Sultan Bukhari,Independent,435,11
NA-177,Zareena Kausar,Independent,425,12
NA-177,Muhammad Ibraheem,Independent,405,13
NA-177,Allah Wasaya alias Sardar Chunnu Khan Leghari,Independent,378,14
NA-177,Muhammad Abdullah Fahad Langrial,Independent,318,15
NA-177,Muhammad Dawood Khan Jatoi,Independent,296,16
NA-177,Rana Aman Ullah Aamir,Independent,250,17
NA-177,Muhammad Yahya Abbasi,Independent,196,18
NA-177,Abdul Hai,Independent,192,19
NA-177,Syed Muhammad Raham Ali Bukhari,Independent,157,20
NA-177,Muhammad Asif Saleem,Independent,135,21
NA-177,Muhammad Qasim,Independent,122,22
NA-177,Zahra Bibi,Independent,56,23
