na,candidate_name,party,votes,rank
NA-38,Shahid Ahmad,Independent,117998,1
NA-38,Shah Abdul Aziz,JUI-F,40949,2
NA-38,Nawabzada Mohsin Ali Khan,Independent,16538,3
NA-38,Hamid Khan Toofan,ANP,16083,4
NA-38,Mehboob Janan,JIP,7556,5
NA-38,Akhlaq Yunus,PML-N,5846,6
NA-38,Mehr Sultana,PPP,3782,7
NA-38,Muhammad Abdullah,Independent,3163,8
NA-38,Umar Nooh,Independent,1201,9
NA-38,Muhammad Saleem Khattak,Independent,833,10
NA-38,Altaf Qadir,Independent,512,11
NA-38,Abdul Munir Khan,Independent,395,12
NA-38,Naveed Ullah,Independent,335,13
NA-38,Said Rasool Khan,Independent,193,14
NA-38,Shafi Ullah,JUI-S,147,15
NA-38,Faisal Nawaz,Independent,133,16
NA-38,Zeeshan Ahmad,Independent,112,17
NA-38,Ashfaq Ahmad,Independent,80,18
NA-38,Malik Ur Rehman,Independent,69,19
NA-38,Muhammad Waheed Khan,Independent,46,20
NA-38,Amjad Ali Shah,Independent,45,21
NA-38,Muhammad Kamran,Independent,35,22
NA-38,Saif Ur Rehman,Independent,34,23
NA-38,Atta Ullah,Independent,29,24
NA-38,Muhammad Idrees,Independent,29,25
NA-38,Shams Ur Rehman Khattak,Independent,28,26
NA-38,Muhammad Bashir Yousaf,RJUI,19,27
NA-38,Kiramat Ullah,Independent,18,28
NA-38,Muhammad Asim,Independent,18,29
NA-38,Qismat Ullah,Independent,17,30
NA-38,Muhammad Said Nawaz,Independent,15,31
