na,candidate_name,party,votes,rank
NA-101,Rana Atif,Independent,134886,1
NA-101,Mian Irfan Ahmad,PML-N,89612,2
NA-101,Muhammad Asad Iqbal,TLP,11445,3
NA-101,Muhammad Mushtaq Ahmad,JIP,5984,4
NA-101,Mohammad Ijaz,Independent,3744,5
NA-101,Khalid Shafique,Independent,3671,6
NA-101,Muhammad Muzammal Dogar,Independent,2909,7
NA-101,Sheikh Fiaz Ahmed,PMML,1687,8
NA-101,Ibrar Ali,Independent,1012,9
NA-101,Komal Nadeem Sindhu,Independent,768,10
NA-101,Muhammad Nouman Afzal,Independent,547,11
NA-101,Nadeem Sadiq Dogar,Independent,519,12
NA-101,Fahmeed Nawaz,PNP,359,13
NA-101,Muhammad Latif Nazar,Independent,326,14
NA-101,Basharat Ali,Independent,198,15
NA-101,Shafqat Hameed,Independent,196,16
NA-101,Rana Fayyaz Ahmad,Independent,157,17
NA-101,Rosheela Asad,Independent,138,18
NA-101,Mohammad Akram Sahi,Independent,134,19
NA-101,Changez Ahmed Khan,Independent,132,20
NA-101,Mohammad Saqib Majeed,Independent,94,21
NA-101,Muhammad Usman,Independent,84,22
NA-101,Muhammad Abdullah Khan,Independent,73,23
NA-101,Shabir Hussain,Independent,68,24
NA-101,Mehboob Alam,Independent,67,25
NA-101,Zafar Iqbal,Independent,64,26
NA-101,Shafaat Ali,Independent,47,27
NA-101,Nadeem Aftab Sandhu,Independent,45,28
NA-101,Sadaf Rasheed Choudhary,Independent,35,29
NA-101,Muhammad Tariq,Independent,32,30
NA-101,Mohsin Raza,Independent,28,31
NA-101,Waleed Arshad,Independent,23,32
NA-101,Saif Muazzam,Independent,20,33
