na,candidate_name,party,votes,rank
NA-183,Khawja Sheraz Mehmood,Independent,134501,1
NA-183,Sardar Muhammad Amjad Farooq Khan Khosa,PML-N,88489,2
NA-183,Khawaja Mudassar UL Mehmood Taunsvi,JUI-F,14001,3
NA-183,Naeem Ullah Arbi,JIP,5676,4
NA-183,Dr. Maqsood Ahmad Chakrani,TLP,4860,5
NA-183,Manziir Ahmad Rehmani,Independent,4040,6
NA-183,Sardar Fayyaz Fareed Khan Malghani,Independent,3266,7
NA-183,Shair Afgan Buzdar,BNP,2619,8
NA-183,Muhammad Iqbal,Independent,1458,9
NA-183,Rashida Naseem,AATP,806,10
NA-183,Muhammad Iqbal Khan,Independent,722,11
NA-183,Muhammad Tahir Khan,Independent,628,12
NA-183,Jaffar Khan Buzdar,Independent,486,13
NA-183,Ruqia Bano,Independent,349,14
NA-183,Muhammad Tariq,Independent,222,15
NA-183,Riaz Fareed,Independent,170,16
NA-183,Muhammad Zahid,Independent,130,17
NA-183,Kaleem Saif Ullah,Independent,129,18
