na,candidate_name,party,votes,rank
NA-221,Syed Naveed Qamar,PPP,111738,1
NA-221,Dr. Muhammad Irfan Nizamani,Independent,23840,2
NA-221,Lal Bux,Independent,7975,3
NA-221,Ahmed Nonari,KS,7857,4
NA-221,Ameen,TLP,4143,5
NA-221,Ijaz Ali Nizamani,JIP,2043,6
NA-221,Abdul Raheem,Independent,1428,7
NA-221,Muhammad Altaf Nizamani,Independent,1103,8
NA-221,Mir Ali Nawaz Talpur,GDA,714,9
NA-221,Pir Aqib Jan Sarhandi,Independent,412,10
NA-221,Imtiaz Hussain,MQM,392,11
NA-221,Abdul Jabbar Memon,Independent,307,12
NA-221,Muhammad Hassan Nizamani,Independent,294,13
NA-221,Fayaz Rahim Katiar,Independent,239,14
NA-221,Abdul Latif Somroo,Independent,186,15
NA-221,Ghulam Hussain,Independent,154,16
NA-221,Kashaf ul Hussain Shah,Independent,113,17
