na,candidate_name,party,votes,rank
NA-161,Alam Dad Laleka,PML-N,100679,1
NA-161,Shahid Amin,Independent,81772,2
NA-161,Aftab Ahmad Joiya,TLP,25698,3
NA-161,Arslan Khan Khakwani,JIP,11153,4
NA-161,Najeeb Ur Rahman,PPP,9661,5
NA-161,Ehtsham Ul Haq Laleka,Independent,3617,6
NA-161,Abdul Khaliq,JUI-F,2567,7
NA-161,Hafiz Ameer Hamza,PMML,1162,8
NA-161,Imtiaz Alam,HKP,939,9
NA-161,Muhammad Abbas,Independent,812,10
NA-161,Nazar Muhammad (Ahmad Nadeem),Independent,789,11
NA-161,Fazal Mehmood,Independent,621,12
NA-161,Hafiz Muhammad Sabir,Independent,611,13
NA-161,Ahmad Rasheed,Independent,586,14
NA-161,Muhammad Ajmal Qadri,JUI-N,524,15
NA-161,Talib Hussain,Independent,497,16
NA-161,Muhammad Aslam,Independent,311,17
NA-161,Rao Sami Ullah,Independent,262,18
NA-161,Syed Fazal Mehmood Shah,Independent,185,19
NA-161,Rana Atif Rauf,Independent,110,20
