na,candidate_name,party,votes,rank
NA-182,Awais Haider Jhakkar,Independent,141973,1
NA-182,Pir Syed Muhammad Saqlain Bukhari,PML-N,118686,2
NA-182,Muhammad Ramzan,PPP,21365,3
NA-182,Iftikhar Ali Babar Khitran,Independent,12238,4
NA-182,Muhammad Yousaf,TLP,10589,5
NA-182,Noor Mahboob,Independent,8387,6
NA-182,Nisar Ahmad,Independent,3327,7
NA-182,Farooq Elahi,Independent,1852,8
NA-182,Niaz Ahmad Jakhar,Independent,730,9
NA-182,Aman Ullah,PAT,627,10
NA-182,Sibtul Hassan Anjum Sehrai,Independent,536,11
NA-182,Ashiq Ali,PMML,478,12
