na,candidate_name,party,votes,rank
NA-98,Chaudhary Muhammad Shahbaz Babar,PML-N,119559,1
NA-98,Mumtaz Ahmad,Independent,105653,2
NA-98,Rana Muhammad Farooq Saeed Khan,PPP,29507,3
NA-98,Muhammad Jawad Saleem,TLP,15606,4
NA-98,Chaudhary Iftikhar Rasool Ghuman,Independent,3602,5
NA-98,Usman Ali,JIP,2722,6
NA-98,Muhammad Tahir,Independent,2360,7
NA-98,Muhammad Sohail Sarwar,Independent,2290,8
NA-98,Hafiz Safi Ur Rehman,PMML,1925,9
NA-98,Muhammad Nadeem,Independent,696,10
NA-98,Khalid Abdullah,Independent,483,11
NA-98,Muhammad Usman,PAT,397,12
NA-98,Muhammad Farooq Arshad,Independent,278,13
NA-98,Muhammad Bilal Farooq Khan,Independent,188,14
NA-98,Muhammad Irfan,Independent,169,15
NA-98,Ch. Shafqat Rasool Ghuman,Independent,151,16
NA-98,Abdul Satar,Independent,148,17
NA-98,Muhammad Anwar Chaudhry,Independent,120,18
NA-98,Muhammad Rafay,Independent,101,19
NA-98,Muhammad Inam Ul Haq,Independent,99,20
