na,candidate_name,party,votes,rank
NA-56,Muhammad Hanif Abbasi,PML-N,96655,1
NA-56,Shahryar Riaz,Independent,82619,2
NA-56,Sajjad Akbar Abbasi,TLP,9432,3
NA-56,Imran Shafiq,JIP,7467,4
NA-56,Sheikh Rasheed Ahmad,AML,5727,5
NA-56,Sumaira Gull,PPP,4847,6
NA-56,Muhammad Zia ur Rehman Amazai,JUIP,1869,7
NA-56,Sharjeel Mir,IPP,1275,8
NA-56,Asghar Ali Mubarak,Independent,963,9
NA-56,Waheed Akbar,Independent,772,10
NA-56,Ijaz Khan,Independent,569,11
NA-56,Muhammad Anil Babur,Independent,555,12
NA-56,Syed Mazhar Ali,PAL,279,13
NA-56,Abdullah Abbasi,PNP,272,14
NA-56,Shahzada Imran,Independent,250,15
NA-56,Raja Arshad Mehmood,Independent,172,16
NA-56,Sheeraz Khan,Independent,162,17
NA-56,Muhammad Nadeem,PAT,152,18
NA-56,Ashir Tanveer,Independent,144,19
NA-56,Talha Afrasiyab Raja,Independent,128,20
NA-56,Babar Mehmood Khan,Independent,111,21
NA-56,Ajab Khan,Independent,97,22
NA-56,Abid Hussain,MQM,95,23
NA-56,Dabeer Ahmad Khan,Independent,82,24
NA-56,Hamza Majid Bazmi,Independent,74,25
NA-56,Raja Nasir Mahfooz,Independent,73,26
NA-56,Umbren Younis Turk,Independent,52,27
NA-56,Mian Imran Hayat,Independent,52,28
NA-56,Muhammad Asghar,Independent,37,29
NA-56,Fasieh Tajamul,Independent,26,30
