na,candidate_name,party,votes,rank
NA-187,Ammar Ahmad Khan Leghari,PML-N,79811,1
NA-187,Atif Ali Khan Dareshak,Independent,67321,2
NA-187,Sardar Athar Hassan Khan Gorchani,PPP,18299,3
NA-187,Sardar Muhammad Awais Dreshak,Independent,10170,4
NA-187,Ghulam Yaseen,TLP,4379,5
NA-187,Abdul Mohsin,JIP,2808,6
NA-187,Abdul Basit,JWP,1697,7
NA-187,Akthar Hassan Khan Gorchani,Independent,643,8
NA-187,Sardar Muhammad Khan Laghari,Independent,641,9
NA-187,Sardar Ahmad Ali Khan Dreshak,Independent,447,10
NA-187,Raheela Zafaryab,Independent,418,11
NA-187,Khadim Hussain,Independent,375,12
NA-187,Shazia Abid,Independent,229,13
NA-187,Ehsan Ahmad,Independent,218,14
NA-187,Allah Yar Khan,Independent,214,15
NA-187,Muhammad Zubair,Independent,206,16
NA-187,Ruqaiya Bibi,Independent,115,17
NA-187,Shahzaib Rasool,Independent,103,18
