na,candidate_name,party,votes,rank
NA-55,Ibrar Ahmad,PML-N,112345,1
NA-55,Muhammad Basharat Raja,Independent,96799,2
NA-55,Faisal Ul Hassan Khan,TLP,9577,3
NA-55,Arif Hussain Shah,JIP,5702,4
NA-55,Babar Sultan Jadoon,PPP,4826,5
NA-55,Umar Ali,JUI-F,1385,6
NA-55,Sardar Abdul Raziq Khan,Independent,849,7
NA-55,Muhammad Muqarrab Ali,Independent,519,8
NA-55,Zahid Khaliq kayani,Independent,369,9
NA-55,Umair Tanveer Butt,Independent,290,10
NA-55,Qazi Noor Ul Islam Qureshi,Independent,255,11
NA-55,Sheikh Tariq Masood,Independent,201,12
NA-55,Inam Malik,Independent,183,13
NA-55,Atif Riaz,Independent,173,14
NA-55,Nargis Jabeen,IPP,166,15
NA-55,Jahangir Ahmed Jutt,Independent,157,16
NA-55,Umar Tanveer,Independent,157,17
NA-55,Muhammad Ijaz Ul Haq,PML-Z,145,18
NA-55,Nasir Mehmood,PAL,144,19
NA-55,Muhammad Nabi,ANP,136,20
NA-55,Razziq Mehmood Bhatti,MQM,135,21
NA-55,Rizwan Majeed Butt,Independent,123,22
NA-55,Zahid Iqbal Bakhtawari,TDP,76,23
NA-55,Afzaal Hussain,Independent,66,24
NA-55,Raja Imran Hussain,Independent,58,25
NA-55,Muhammad Nasir Raja,Independent,51,26
NA-55,Nasir Hayat,Independent,47,27
NA-55,Maqsood Ahmad,JUP-IN,45,28
NA-55,Amir Masood,Independent,42,29
NA-55,Mehran Ejaz Anwar Choudhry,Independent,33,30
