na,candidate_name,party,votes,rank
NA-130,Mian Muhammad Nawaz Sharif,PML-N,179312,1
NA-130,Dr. Yasmeen Rashid,Independent,104491,2
NA-130,Muhammad Khurram Riaz,TLP,20082,3
NA-130,Sufi Khalique Ahmad Butt,JIP,3624,4
NA-130,Iqbal Ahmad Khan,PPP,2604,5
NA-130,Khalid Masood Sandhu,PMML,2123,6
NA-130,Saleem Ullah,JUI-F,1453,7
NA-130,Muzammil Qadir Butt,Independent,449,8
NA-130,Muhammad Amir,Independent,383,9
NA-130,Ch Muhammad Asghar,Independent,359,10
NA-130,Muhammad Imtiaz Chaudhary,Independent,272,11
NA-130,Ali Shan,Independent,123,12
NA-130,Samia Naz,MQM,102,13
NA-130,Hasnain Ahmad Shahzad,Independent,84,14
NA-130,Habib Ur Rehman,Independent,78,15
NA-130,Hafiz Adnan Munir,Independent,69,16
NA-130,Agha Usama Ahmad,Independent,55,17
NA-130,Ishtiaque Ahmad Samsialvi,Independent,54,18
