na,candidate_name,party,votes,rank
NA-109,Sheikh Waqas Akram,Independent,176699,1
NA-109,Muhammad Yaqub Sheikh,PML-N,61803,2
NA-109,Muhammad Ahmad Ludhyanvi,PRP,36410,3
NA-109,Nasir Ali,TLP,7353,4
NA-109,Muhammad Haider Ali Bukhari,PPP,3257,5
NA-109,Sheikh Muhammad Akram,Independent,2981,6
NA-109,Suhaib Farooq,Independent,2546,7
NA-109,Abdul Jabbar Khan,JIP,2403,8
NA-109,Muhammad Mansha,PMML,1676,9
NA-109,Syeda Sughra Imam,Independent,1064,10
NA-109,Muhammad Anas,Independent,801,11
NA-109,Muhammad Azad,Independent,796,12
NA-109,Zawar Hussain,Independent,498,13
NA-109,Abdul Hannan,Independent,375,14
NA-109,Muhammad Saleem Tahir,Independent,172,15
NA-109,Fawad Akram,Independent,171,16
NA-109,Mahr Shahid Saleem,Independent,162,17
NA-109,Ghulam Bibi,Independent,152,18
NA-109,Zubaida Begum,Independent,127,19
NA-109,Hakim Ali,Independent,94,20
NA-109,Muhammad Iqbal Khan,TJP,63,21
