na,candidate_name,party,votes,rank
NA-85,Zulfiqar Ali Bhatti,PML-N,121015,1
NA-85,Khudadad Ahmed Kalyar,Independent,111165,2
NA-85,Tariq Mehmood,PPP,9127,3
NA-85,Majid Ali,Independent,5698,4
NA-85,Hafiz Muhammad Masood,PMML,5594,5
NA-85,Zulfiqar Ahmad,Independent,3883,6
NA-85,Chaudhry Alhamza Hussain Cheema,TLP,3657,7
NA-85,Salman Ahmed,JIP,3565,8
NA-85,Nazir Ahmed,Independent,1736,9
NA-85,Nadeem Muhammad Akram,Independent,1589,10
NA-85,Rana Munawwar Husain,Independent,675,11
NA-85,Hafiz Abdul Rehman Sahi,Independent,637,12
NA-85,Muhammad Mumtaz Akhtar khalu,Independent,632,13
NA-85,Rai Muhammad Munir Kharal,Independent,624,14
NA-85,Chaudhary Amir Sultan Cheema,Independent,328,15
NA-85,Muhammad Ali,Independent,305,16
NA-85,Saddam Hussain,Independent,298,17
NA-85,Akmal Shameen,Independent,268,18
NA-85,Sardar Ahsan Raza,Independent,185,19
NA-85,Muhammad Sarwar Bhatti,Independent,175,20
