na,candidate_name,party,votes,rank
NA-232,Aasia Ishaq Siddique,MQM-P,84592,1
NA-232,Adeel Ahmad,Independent,66753,2
NA-232,Taufeeq Uddin Siddiqui,JIP,41439,3
NA-232,Muhammad Akram,Independent,15704,4
NA-232,Muhammad Yaseen,TLP,14602,5
NA-232,Mohammad Aftab Uddin Baqai,Independent,12220,6
NA-232,Muhammad Owais Siddiqui,JUP-N,2967,7
NA-232,Ashraf Waheed,Independent,2138,8
NA-232,Aleem Adil Sheikh,Independent,1873,9
NA-232,Shaukat Ullah Farooqui,MQM-H,1424,10
NA-232,Muhammad Anwar,Independent,1321,11
NA-232,Abdul Haleem,Independent,955,12
NA-232,Abdul Haq Malik,PRP,807,13
NA-232,Ashfaq Ahmad Mangi,Independent,413,14
NA-232,Muhammad Shahid Siddique,PMML,401,15
NA-232,Nouman Ali,Independent,383,16
NA-232,Adeel Azam,Independent,372,17
NA-232,Muhammad Tanveer Qurashi,Independent,352,18
NA-232,Noman Adil Malik,Independent,326,19
NA-232,Arshad Ali Khan,PML-Z,322,20
NA-232,Rehan Ahmad,Independent,290,21
NA-232,Mohammad Ashraf Alam,Independent,278,22
NA-232,Syed Imran Haider Aabdi,Independent,216,23
NA-232,Muhammad Mumtaz,PIRP,211,24
NA-232,Syed Akbar Shah Mewati,Independent,207,25
NA-232,Syed Sajid Tirmizi,Independent,193,26
NA-232,Suroor Zafar,Independent,188,27
NA-232,Tariq Mahmood Qadri,IPP,187,28
NA-232,Nisar Ahmed,Independent,181,29
NA-232,Zeeshan Abbas Malik,Independent,171,30
NA-232,Muhammad Ibrahim Ali,MOTP,145,31
NA-232,Ghulam Ali,Independent,120,32
NA-232,Fayyaz Ahmed Tabassum,PAT,108,33
NA-232,Muhammad Ehsan,Independent,77,34
NA-232,Muhammad Qavi Ullah Khan Shirazi,Independent,72,35
NA-232,Muhammad Arif Khan,PMA,39,36
