cluster_id,family_tokens,districts,n_members,n_winners,total_wins,span,members,member_ids
F0062,afzal|rasool|sahi|afzaal,bahawalnagar|bhakkar|faisalabad|gujranwala|gujranwala cum hafizabad|islamabad|jh,34,8,11,1993-2024,"Malik Muhammad Afzal Khokhar (3W/4C, PMLN|PPP); Lt. Col. (R) Ghulam Rasool Sahi (2W/2C, PMLN|PMLQ); Rana Muhammad Afzal Khan (1W/4C, IND|PMLN); Haji M. Nawaz Khokhar (1W/1C, PMLN); MUHAMMAD AFZAL (1W/10C, IND|JI|JUIF|MMA|MQM|PMLN|PPP|Pakistan Tehreek-e-Insaf Nazriati); Rana Afzaal Hussain (1W/6C, IND|PMLN); Muhammad Afzal Khan (1W/2C, PMLN|PTI); Ali Afzal Sahi (1W/1C, IND); Ghulam Rasool (0W/6C, IND|JWP|MMA|PPP|TLP); Ch. Ghulam Rasool (0W/2C, IND|PML-Z); Mohammad Akram Sahi (0W/1C, IND); Ch. Shafqat Rasool Ghuman (0W/1C, IND); Syed Ghulam Rasool Shah (0W/2C, IND); Waseem Afzal (0W/1C, IND)",P00239|P00495|P00989|P01094|P01222|P01304|P02898|P02936|P03215|P04081|P04214|P04517|P04575|P05823|P05842|P06302|P06377|P06447|P06489|P09102|P09126|P09127|P09201|P10105|P10226|P10274|P10435|P10474|P12704|P12850|P12896|P12901|P12941|P12947
F0047,leghari,dg khan|dg khan cum rajanpur|rajanpur|sahiwal,11,4,11,1993-2024,"Sardar M. Jafar Khan Leghari (5W/5C, IND|NA(alliance)|PMLN|PMLQ|PTI); Sardar Farooq Ahmad Khan Leghari (4W/5C, IND|NA(alliance)|PMLQ|PPP); Sirdar Muhammad Khan Laghari (1W/7C, IND|PTI); Ammar Ahmad Khan Leghari (1W/1C, PMLN); Sardar Owais Ahmad Khan Leghari (0W/1C, IND); ALI AHMAD KHAN LEGHARI (0W/1C, IND); Sardar Mansoor Ahmad Khan Leghari (0W/1C, IND); Sardar M. Yusuf Khan Leghari (0W/1C, IND); MUHAMMAD MOHSIN LEGHARI (0W/1C, IND); Meena Ihsan Leghari (0W/1C, IND); Sardar Imtiaz Ahmad Khan Leghari (0W/1C, PMLN)",P00187|P01508|P01509|P01511|P01512|P01513|P03121|P04751|P10848|P10850|P13860
F0051,siddiqi|siddiqui|siddiq|noorani,hyderabad|karachi|karachi central|karachi east|karachi south|karachi west|muzaff,29,4,8,1993-2024,"Dr. Khalid Maqbool Siddiqi (4W/4C, MQM); Haleem Ahmad Siddiqi (2W/5C, IND|PMLN); M. Abbdul Rauf Siddiqi (1W/1C, MQM); M. Shamim Siddiqi (1W/2C, IND|MQM); Zafar Ahmed Siddiqui (0W/2C, PPP); Muhammad Irshad Siddiqui (0W/1C, IND); Molana Shah Ahmad Noorani (0W/1C, IND); Syed Nawaz ul Huda (0W/1C, TLP); Muhammad Adil Siddiqui (0W/1C, PSP); Dr Mairaj Ul Huda Siddiqui (0W/1C, JI); Muhammad Abdul Rauf Siddiqui (0W/3C, MQM); M. Javed Siddiqi (0W/1C, IND); Ata ul Mustafa Jamil Rathore (0W/3C, IND); Javed Siddiqui (0W/1C, IND)",P00193|P00593|P00608|P00657|P00668|P00702|P01520|P01724|P01728|P01874|P01877|P01920|P03416|P03430|P03587|P03601|P03665|P03723|P03750|P03755|P05236|P08007|P11023|P11142|P11283|P11402|P11429|P11437|P14606
F0026,noon|kanju|kanjoo|ajmal,lodhran|multan cum lodhran,14,4,6,1993-2024,"Abdul Rehman Khan Kanju (3W/3C, IND|PMLN); M. Akhtar Khan Kanjoo (1W/5C, IND|PMLN|PMLQ|PTI); Rana Mumtaz Ahmad Noon (1W/2C, PPP); M. Siddiq Khan Kanju (1W/2C, PMLN); Khurshid Ahmad Khan Kanju (0W/1C, JI); Rana Muhammad Faraz Noon (0W/2C, IND|PPP); Rana Muhammad Jahangir Noon (0W/1C, IND); Muhammad Ajmal Khan Kanjoo (0W/1C, PMLQ); Rana M. Ajmal Noon (0W/1C, PMLN); RANA MOIN FAREED NOON (0W/1C, TLP); Rana Rab Nawaz Noon (0W/1C, PPP); Rana Riaz Ahmad Noon (0W/1C, IND); Muhammad Ajmal Kanju (0W/1C, IND); Rana Muhammad Afzal Noon (0W/1C, IND)",P00118|P00119|P00120|P01440|P03034|P03035|P03036|P04671|P04672|P06782|P06783|P10649|P13544|P13548
F0220,chattha|chatha|fayyaz|hayat,faisalabad|gujranwala|gujrat|rahim yar khan|rahimyar khan|wazirabad,18,4,5,1993-2024,"Sheikh Fayyaz Ud Din (2W/3C, PMLN); Ch. Hamid Nasir Chatha (1W/2C, PML-H|PMLJ); Muhammad Ahmad Chattha (1W/2C, IND|PTI); Hamid Nasir Chattha (1W/2C, PML-H); Saif Ali Chatha (0W/1C, PMLN); Hamid Nasir Chatha (0W/1C, PMLQ); FAYYAZ AHMED (0W/2C, AAT|IND); Munawar Fayyaz Sunny (0W/3C, IND); CH  ADIL BUKSH CHATTHA (0W/2C, IND); Shaukat Hayat Chattha (0W/1C, IND); Muhammad Fayyaz (0W/3C, IND|TLP); Ch Sajid Hussain Chatha (0W/1C, PMLQ); Ahmad Hassan Chattha (0W/1C, IND); Nauman Ullah Khan Chatha (0W/1C, IND)",P01184|P01185|P02560|P02722|P02726|P04387|P04389|P05985|P05997|P07217|P09204|P09354|P10085|P10086|P10088|P10303|P12496|P12863
F0059,cheema,bahawalpur|gujranwala,5,4,4,1993-2024,"Tariq Bashir Cheema (1W/2C, PMLQ|PPP); Chaudhary Tariq Bashir Cheema (1W/4C, IND|PML|PMLQ); Justice Iftikhar Ahmad Cheema (1W/2C, PMLN|PPP); Tariq Basheer Cheema (1W/1C, PMLQ); Wali Daad Cheema (0W/1C, IND)",P00226|P04386|P07144|P07151|P13638
F0117,qaimkhani|talpur|yousif,dadu|korangi karachi|mirpur khas|mirpurkhas cum umerkot|old mirpurkhas|umerkot,17,3,10,1993-2024,"Nawab Muhammad Yousif Talpur (6W/7C, PPP); Nawab Abdul Ghani Talpur (2W/4C, IND|PPP); Mir Munwar Ali Talpur (2W/2C, PPP); Jawaid Iqbal Qaimkhani (0W/1C, IND); Mir Behram Ali Talpur (0W/1C, IND); Mir Mehboob Ali Talpur (0W/1C, IND); Mir Ghazanfar Ali Talpur (0W/1C, IND); Mir Jan M. Khan Talpur (0W/1C, IND); Ali Hassan Khan Qaimkhani (0W/1C, PAT); Asif Raza Qaimkhani (0W/1C, IND); Muhammad Yousif Qaimkhani (0W/2C, IND); Zahid Ali Khan Qaimkhani (0W/1C, MQM-H); Shabbir Ahmed Qaimkhani (0W/6C, IND|MQM); Mir Amanullah Khan Talpur (0W/1C, PMLN)",P00489|P00493|P00496|P00501|P01775|P01790|P03481|P03487|P03488|P05111|P05112|P07793|P11073|P11074|P14066|P14074|P14081
F0115,jillani,mirpur khas|mirpurkhas cum umerkot|old mirpurkhas|tharparkar,9,3,9,1993-2024,"Pir Aftab Hussain Shah Gilani (5W/6C, IND|PPP); Pir Noor M. Shah Jilani (3W/4C, PMLF|PMLN|PPP); Pir Shafqat Hussain Shah Jilani (1W/2C, IND|PPP); Pir Ghous Ali Shah Jillani (0W/1C, IND); Pir Ghulam Dastgeer Shah Jeelani (0W/2C, IND); Pir Hassan Ali Shah Jillani (0W/1C, IND); Pir Imdad Ali Shah Jilani (0W/2C, IND|PPP); Pir Aftab Ali Shah Jeelani (0W/1C, IND); Pir Shan Ali Shah Jillani (0W/1C, IND)",P00482|P01781|P03505|P05094|P05098|P05099|P05122|P07805|P14086
F0028,dogar|hashmi|javaid|ikhlas,lahore|multan|multan cum khanewal|rawalpindi,20,3,7,1993-2024,"Makhdoom Muhammad Javed Hashmi (5W/11C, IND|PMLN); Raja Muhammad Javed Ikhlas (1W/3C, PMLN); Makhdoom Javaid Hussain Hashmi (1W/1C, PTI); Malik Muhammad Ahmad Akmel Dogar (0W/1C, IND); Admir R Javaid Iqbal (0W/1C, Pakistan Falah Party); Syed Asif Akhter Hashmi (0W/1C, PPP); Raja Qasim Javaid Ikhlas (0W/1C, PMLQ); Nasir Javaid Dogar (0W/1C, IND); Muhammad Irshad Dogar (0W/1C, IND); Faraz Hashmi (0W/2C, IND|PPP); Mubarak Shah Hashmi (0W/1C, IND); Syed Mehr Mohi Ud Din Hashmi (0W/1C, PMLF); Muhammad Imran Javaid (0W/1C, ST); Syed Asif Hashmi (0W/1C, PPP)",P00131|P04110|P04450|P05714|P06186|P06280|P06307|P06429|P06674|P06676|P06726|P08856|P10434|P10454|P10455|P10462|P13145|P13227|P13278|P13281
F0030,hiraj|yar|hayat,khanewal,8,3,7,1993-2024,"Muhammad Raza Hayat Hiraj (4W/5C, IND|PMLQ|PPP|PTI); Hamid Yar Hiraj (2W/4C, IND|PMLQ); Haji M. Iqbal Hiraj (1W/1C, PPP); Sardar Allah Yar (0W/1C, PPP); Mehar Allah Bakhsh Hiraj, Adv. (0W/1C, PAT); Mehar Khizar Hayat Hiraj (0W/1C, National Peoples Party); Sardar Allah Yar Hiraj (0W/1C, PPP); Ahmad Yar Hiraj (0W/1C, PTI)",P00134|P00137|P00141|P01458|P03038|P03042|P03046|P10592
F0065,warraich|iqbbal,gujrat|rahim yar khan|rahimyar khan,6,3,6,1993-2024,"Ch. M. Jaffar Iqbal (3W/6C, IND|PMLN); Javed Iqbal Warraich (2W/3C, IND|PPP); Ch. Zaffar Iqbbal Warraich (1W/2C, PMLQ|PPP); Zafar Iqbal Warraich (0W/2C, PPP); Hasnain Waraich (0W/1C, IND); Munir Ahmad Warraich (0W/2C, IND)",P00253|P00254|P03233|P03242|P04840|P13709
F0108,bachani,hyderabad|old hyderabad|tando allahyar,4,3,6,1993-2024,"Shamshad Sattar Bachani (2W/2C, PPP); Zulfiqar Bachani (2W/3C, IND|PPP); Abdul Sattar Bachani (2W/5C, IND|PPP); Masood Ul Nab Bachani (0W/1C, IND)",P00456|P03451|P05069|P07722
F0043,daultana|aqeel|tehmina|doultana,vehari,7,3,5,1993-2024,"Tehmina Daultana (3W/7C, PMLN); Azeema Daultana (1W/1C, PPP); Tehmina Aqeel Daultana (1W/1C, PMLN); Shahida Daultana (0W/1C, PPP); Mohtarma Tehmina Doultana (0W/1C, PMLN); Natasha Daultana (0W/2C, PPP); Mian Shaukat Ali Aqeel (0W/1C, IND)",P00173|P00178|P01494|P03097|P04717|P06924|P06934
F0046,khosa,dg khan|dg khan cum rajanpur|taunsa,8,3,5,1993-2024,"Sardar M. Amjad Farooq Khan (3W/7C, IND|PMLN); Sardar Muhammad Saif Ul Din Khan Khosa (1W/4C, IND|PMLN|PPP); Abdul Qadir Khan Khosa (1W/1C, PMLN); Sardar Zulfiqar Ali Khan Khosa (0W/3C, IND|PTI); Sardar Dost Muhammad Khan Khosa (0W/3C, IND|PPP); SARDAR MUHAMMAD IRFAN ULLAH KHOSA (0W/2C, PPP); Salauddin Khan Khosa (0W/1C, IND); Sardar M. Irfanullah Khan Khosa (0W/1C, PPP)",P00184|P00188|P03125|P04746|P10832|P10834|P10837|P13831
F0015,jadoon,abbottabad|abbottabad cum haripur,4,3,4,1993-2024,"Ali Khan Jadoon (2W/2C, IND|PTI); Amanullah Khan Jadoon (1W/4C, IND|PML-H|PMLQ); Dr Muhammad Azhar Khan Jadoon (1W/3C, IND|PTI); Ayaz Khan Jadoon (0W/3C, IND|PRHP)",P00073|P03102|P06947|P09530
F0042,khichi,vehari,8,3,4,1993-2024,"Aurangzeb Khan Khichi (2W/5C, IND|PMLQ|PTI); M. Nawaz Khan Alias Dilawar Khan Khichi (1W/1C, PMLN); Khan Aftab Ahmed Khan Khichi (1W/5C, IND|PMLQ|PTI); Ahmed Nawaz Khan Khichi (0W/3C, IND); Arsal Khan Khichi (0W/1C, IND); Ghulam Sarwar Khan Khichi (0W/3C, IND|PPP); Muhammad Alamgir Khan Khichi (0W/1C, IND); Haji M. Aslam Khan Khichi (0W/1C, IND)",P00170|P01487|P03098|P03109|P03111|P04723|P06958|P13588
F0168,mengal,kalat cum mastung cum kharan|khuzdar|lasbela cum gwadar|quetta,10,3,4,1993-2024,"Muhammad Akhtar Mengal (2W/5C, BNP|Balochistan National Movement (Mengal)); Abdur Rauf Mengal (1W/1C, BNP); Sardar M. Akhter Mengal (1W/1C, BNP); Mir Atta-Ur-Rehman Mengal (0W/1C, PMLQ); Mir M. Ishaq Mengal (0W/1C, Balochistan National Congress); Amir Bakhsh Mengal Advocate (0W/1C, IND); Moulana Muhammad Ramzan Mengal (0W/1C, PRHP); Moula Muhammad Ramzan Mengal (0W/1C, PRHP); Atta Ur Rehman Mengal (0W/1C, IND); MirShafiq U Rehman Mengal (0W/2C, IND)",P00819|P02045|P03852|P03854|P05448|P08391|P08397|P11574|P11620|P14871
F0200,mela,sargodha,6,3,4,1993-2024,"Ch. Ghias Ahmad Mela (2W/2C, PMLN|PMLQ); Usama Ahmed Mela (1W/2C, IND|PTI); Ghais Ahmed Mela (1W/2C, PMLQ); Ch. Qadir Bakhsh Mela (0W/1C, PMLN); Ali Nawaz Mela (0W/1C, IND); Ahmed Hasan Mela (0W/1C, IND)",P01057|P02411|P05779|P10164|P10166|P12741
F0595,asim,faisalabad,4,3,4,2002-2024,"Muhammad Asim Nazir (2W/2C, IND|PMLQ); Ch. M. Asim (1W/1C, PMLQ); Muhammad Asim Nazeer (1W/1C, PMLN); Asim Munir (0W/1C, JI)",P04224|P05837|P09130|P12912
F0727,jamali,jafarabad cum sohbatpur|old nasirabad|sohbatpur cum jaffarabad cum usta muhammad,10,3,4,2008-2024,"Mir Khan Muhammad Jamali (2W/2C, PMLN|PTI); Taj Muhammad Jamali (1W/1C, PPP); Zafarullah Khan Jamali (1W/1C, IND); Liaquat Ali Jamali (0W/1C, PMLN); Jaffar Jamali (0W/1C, IND); Mir Changez Khan Jamali (0W/3C, PPP); Meer Javed Khan Jamali (0W/1C, IND); Farooq Jamali (0W/2C, IND); Abdul Rehman Khan Jamali (0W/1C, PMLQ); Rahat Jamali (0W/1C, IND)",P05416|P05418|P05426|P05428|P08326|P08328|P08332|P11505|P11507|P14701
F0194,hayat|tamman,chakwal|talagang cum chakwal,5,3,3,1993-2024,"M. Faiz Malik Tamman (1W/2C, IND); Sardar Mansoor Hayat Tamman (1W/6C, IND|PMLN|PMLQ|PPP|PTI); Muhammad Faiz Tamman (1W/1C, PMLN); Alhaj Malik M. Hayat (0W/1C, PTI); Dr Maqsood Hayat Khan (0W/1C, IND)",P01041|P02398|P04150|P05767|P08982
F0199,hayat|awan|kalyar,sargodha,11,3,3,1993-2024,"Liaqat Hayat Badrana (1W/1C, PPP); Shafqat Abbas Awan (1W/1C, IND); Adnan Hayat Khan (1W/1C, PMLN); Begum Malik Shoaib Awan (0W/1C, PMLQ); SARDAR MUHAMMAD SHAFQAT HAYAT KHAN (0W/2C, IND); Nadeem Awan (0W/2C, IND|TLI); Khudadad Ahmed Kalyar (0W/1C, IND); Malik Khizar Hayat Awan (0W/1C, IND); Mehr Mansoor Hayat Luk (0W/1C, IND); Noor Hayat Kalyar (0W/1C, PTI); Noor Hayat (0W/1C, IND)",P01056|P02406|P02424|P05783|P09020|P09031|P09035|P10198|P12744|P12760|P12773
F0219,warraich,faisalabad|toba tek singh,4,3,3,1993-2024,"Farkhanda Amjad Warraich (1W/3C, IND|PMLQ|Pakistan National Muslim League); Chaudhry Khalid Javed Warraich (1W/2C, PMLN); Amjad Ali Warraich (1W/3C, IND|PML-H|Pakistan National Muslim League); Ch. Amjad Ali Warraich (0W/1C, IND)",P01183|P02550|P04317|P09307
F0234,tarar|tararr,mandi bahauddin|mandi bahauddin cum gujrat,9,3,3,1993-2024,"Muhammad Tariq Tarar (1W/2C, PPP); Zafarullah Tarar (1W/5C, PMLQ|PPP|PTI); Mumtaz Ahmad Tarar (1W/3C, IND|PMLN); Amjad Hussain Tarar (0W/1C, IND); Faraz Ahmad Tarar (0W/1C, IND); Munawar Hussain Tarar (0W/1C, IND); Nasar Abbas Tarar (0W/1C, IND); Shahzad Akhtar Tarar (0W/1C, IND); Adnan Rasool Tararr (0W/1C, IND)",P01249|P02627|P02632|P02754|P04408|P04409|P06081|P06094|P12530
F0652,awaisi,bahawalpur,3,3,3,2008-2024,"Mian Najibuddin Awaisi (1W/1C, PMLN); MIAN NAJEEB UD DIN AWAISI (1W/3C, IND|PMLN|PMLQ); Muhammad Usman Awaisi (1W/1C, PMLN)",P04795|P07120|P13651
F0724,bugti,dera bugti cum kohlu cum barkhan cum sibi cum lehri|old nasirabad|old sibi|quett,9,3,3,2008-2024,"Mian Khan Mandrani Bugti (1W/1C, IND); Nawabzada Shahzain Bugtti (1W/3C, JWP); Mir Ahmadan Khan Bugti (1W/2C, PMLQ); Mir Ali Murad Khan Bugti (0W/1C, IND); Nawab Muhammad Mir Ali Bugti (0W/1C, IND); Nawabzada Talal Akbar Bugti (0W/2C, JWP); Jalamb Khan Bugti (0W/1C, IND); Attaullah Khan Kalpar Bugti (0W/1C, IND); Nawabzada Guaram Khan Bugti (0W/2C, IND)",P05410|P08197|P08310|P08319|P08320|P08338|P11468|P11475|P14662
F0251,niazi,abbottabad cum haripur|bannu|di khan cum tank cum kulachi|islamabad|karachi east,8,2,10,1997-2024,"Imran Ahmed Khan Niazi (9W/21C, PTI); Asad Alam Niazi (1W/1C, PPP); Fazal ur Rahman Niazi (0W/1C, JI); Muhammad Shoaib Khan Niazi (0W/1C, IND); Bajjash Khan Niazi (0W/1C, IND); Musarrat Nazeer Niazi (0W/1C, IND); Faisal Imran Khan Niazi (0W/1C, ANP); Muhammad Arshad Khan Niazi (0W/2C, IND)",P01405|P04471|P05689|P06255|P13279|P14380|P14401|P14422
F0128,sheerazi,sujawal|thatta,7,2,7,1993-2024,"Syed Ayaz Ali Shah Sheerazi (5W/5C, IND|PMLQ|PPP); Syed Shafqat Hussain Shah Sheerazi (2W/3C, IND|PPP); Shafqat Hussain Shah Sheerazi (0W/1C, IND); Syed Riaz Hussain Shah Sheerazi (0W/2C, IND|PMLQ); Syed Naseer Ahmed Shah Sheerazi (0W/2C, IND); Syed Ghulam Akram Shah Sheerazi (0W/1C, IND); Syed Ijaz Ali Shah Sheerazi (0W/2C, IND)",P00563|P00564|P00566|P03537|P05200|P11161|P11162
F0098,bhutto,badin|dadu|hyderabad|karachi south|lahore|larkana|malakand|qambar shahdadkot|tha,5,2,6,1993-2024,"Bilawal Bhutto Zardari (3W/6C, PPP); Benazir Bhutto (3W/3C, PPP); Mir Murtaza Bhutto (0W/6C, Shaheed Bhutto Committee); Dilshad Ali Bhutto (0W/1C, IND); Rasool Bakhsh Bhutto Alias Aslam Bhutto (0W/1C, IND)",P00412|P00416|P01754|P07844|P09469
F0111,mirza,badin,7,2,6,1993-2024,"Dr. Fahmida Mirza (5W/6C, GDA|IND|PPP); Dr. Zulfiqar Ali Mirza (1W/3C, IND|PPP); Hasnain Ali Mirza (0W/1C, IND); Hassnain Ali Mirza (0W/1C, IND); Alizeh Mirza (0W/1C, IND); Dr. Fawad Hussain Mirza (0W/1C, IND); Muhammad Hassam Mirza (0W/3C, GDA|IND)",P00472|P01764|P01770|P07751|P07754|P11147|P14193
F0116,qureshi,mirpur khas|multan|old mirpurkhas|tharparkar|umerkot,4,2,6,1993-2024,"Makhdoom Shah Mehmood Qureshi (4W/10C, IND|PPP|PTI); MAKHDOOM ZAIN  HUSSAIN QURESHI (2W/3C, IND|PTI); Abdul Ghaffar Qureshi (0W/3C, IND|PMLQ); Abdul Saeed Qureshi (0W/2C, IND)",P00487|P02989|P03479|P10634
F0121,jamali,dadu,6,2,6,1993-2024,"Rafique Ahmed Jamali (5W/7C, IND|PPP); Rais M. Bakhsh Jamali (1W/1C, PPP); Saeed Ahmed Jamali (0W/2C, IND); Zubeer Ahmed Jamali (0W/1C, IND); Zubair Ahmed Jamali (0W/1C, IND); Muhammad Ameen Khan Jamali (0W/1C, IND)",P00526|P01805|P05166|P07847|P11184|P11185
F0275,mahar,shikarpur,7,2,6,1997-2024,"Ghous Bux Khan Mahar (5W/6C, GDA|IND|PMLF|PMLQ); Muhammad Shahryar Khan Mahar (1W/1C, PPP); Muhammad Arif Khan Mahar (0W/2C, IND); Moulana Muhammad Yakoob Mahar (0W/1C, JUIF); Bakhshan Khan Mahar (0W/1C, IND); Shah Nawaz Mahar (0W/1C, MQM); Faiz Muhammad Mahar (0W/1C, IND)",P01614|P04907|P04908|P07385|P07389|P10897|P13905
F0048,dreshak,dg khan|rajanpur,8,2,5,1993-2024,"Sardar Nasrullah Khan Dreshak (3W/7C, IND|PMLQ|PTI); Doctor Hafeez Ur Rehman Khan Drishak (2W/3C, IND|PMLN); Sardar Ali Raza Khan Dreshak (0W/3C, IND); SARDAR MUHAMMAD YOUSAF DRESHAK (0W/2C, IND); Sardar Muhammad Awais Dreshak (0W/3C, IND); Sardar Hasnain Bahadur Khan Dreshak (0W/1C, IND); Sardar Ahmad Ali Khan Dreshak (0W/3C, IND); Sardar Zulfiqar Khan Dreshak (0W/4C, IND)",P00190|P04750|P04753|P06994|P06995|P07002|P10859|P13853
F0050,jatoi,muzaffargarh,5,2,5,1993-2024,"Abdul Qayoom Khan Jatoi (3W/6C, IND|PMLN|PPP); Muhammad Moazam Ali Khan Jatoi (2W/2C, IND|PPP); Muhammad Zia Ullah Khan Jatoi (0W/1C, IND); Muhammad Ziaullah Jatoi (0W/1C, IND); Muhammad Dawood Khan Jatoi (0W/2C, IND)",P00192|P04765|P04770|P13762|P13766
F0074,lund,ghotki,8,2,5,1993-2024,"Khalid Ahmad Khan Lund (4W/6C, IND|PMLQ|PPP); Sardar Haji Noor M. Khan Lund (1W/1C, PPP); Akhtiar Ahmed Lund (0W/1C, IND); Dadan Khan Lund (0W/1C, IND); Zaheeruddin Babar Ali Lund (0W/1C, IND); Shahbaz Ahmed Khan Lund (0W/2C, IND); Sagheer Ahmed Khan Lund (0W/2C, IND); Mir Iftikhar Ahmed Khan Lund (0W/1C, IND)",P00291|P00295|P01605|P03293|P03297|P07372|P10938|P10944
F0225,dastgir|dastagir,gujranwala,3,2,5,1993-2024,"Khuram Dastgir Khan (3W/5C, PMLN); Ghulam Dastgir Khan (2W/2C, PMLN); Ghulam Dastagir (0W/1C, IND)",P01194|P04337|P12687
F0602,bharwana,chiniot|jhang,4,2,5,2002-2024,"Ghulam Bibi Bharwana (3W/5C, IND|PMLN|PMLQ); Saima Akhtar Bharwana (2W/3C, IND|PMLN); Ahmad Hassan Bharwana (0W/1C, IND); Mehar M. Nawaz Bharwana (0W/1C, NA(alliance))",P04285|P04287|P04311|P09269
F0032,bodla,khanewal,4,2,4,1993-2024,"Pir M. Aslam Bodla (3W/3C, PMLQ|PPP); Aslam Bodla (1W/2C, PMLN|PPP); Pir M Aslam Bodla Siddiqui (0W/1C, PMLN); Peer Muhammad Aslam Bodla Siddiqi (0W/1C, PMLN)",P00138|P01462|P10597|P13465
F0080,zardari,naushero feroz|nawabshah|shaheed benazirabad,3,2,4,1993-2024,"Asif Ali Zardari (3W/4C, PPP); Hakim Ali Zardari (1W/3C, IND|PPP); Aftab Ahmed Zardari (0W/1C, IND)",P00330|P00374|P07565
F0091,wassan|wasan,khairpur,8,2,4,1993-2018,"Manzoor Hussain Wassan (2W/2C, PPP); Nawab Ali Wassan (2W/2C, PPP); Mumtaz Ali Wassan (0W/1C, IND); M. Ali Wassan (0W/1C, IND); Fida Hussain Wassan (0W/1C, IND); Rahim Bakhsh Wassan (0W/1C, JUIS); Mureed Hussain Wassan (0W/1C, IND); Munwar Ali Wasan (0W/3C, IND)",P00385|P00389|P00390|P03393|P04994|P04997|P04998|P07592
F0210,tauseef|touseef,faisalabad,3,2,4,1993-2018,"Rana Zahid Tauseef (2W/2C, PMLN); Asif Tauseef (2W/3C, IND|PMLN|PMLQ); Rana Asif Touseef (0W/1C, PMLQ)",P01099|P04245|P09179
F0217,hayat,chiniot|jhang,4,2,4,1993-2024,"Makhdoom Syed Faisal Saleh Hayat (3W/8C, IND|PMLN|PMLQ|PPP); Makhdoomzada Syed Assad Hayat Shah (1W/1C, PPP); Makhdoom Syed Asad Hayat Shah (0W/1C, PPP); Makhdoomzada Syed Asad Hayat (0W/5C, IND|PPP)",P01151|P01163|P02509|P04286
F0247,barjees,nankana sahib|shekhupura,2,2,4,1997-2024,"Ch. M. Barjees Tahir (3W/4C, PMLN); Muhammad Barjees Tahir (1W/2C, PMLN)",P01369|P06495
F0250,nakai,kasur,6,2,4,1997-2024,"Sardar M. Asif Nakai (2W/13C, IND|PMLJ|PMLQ); Sardar Talib Hassan Nakai (2W/4C, PMLJ|PMLQ|PTI); Sardar Pervaiz Hussain Nakai (0W/1C, IND); Sardar Muhammad Ayyan Nakai (0W/2C, IND); Sardar Ahmad Ayaz Nakai (0W/3C, IND); Sardar Majid Akhtar Nakai (0W/4C, IND)",P01398|P01399|P01401|P02967|P04610|P13321
F0256,daha,khanewal,5,2,4,1997-2024,"Muhammad Khan Daha (3W/4C, PMLN); Aftab Ahmad Khan Daha (1W/1C, PMLN); Rizwan Ahmed Khan Daha (0W/1C, PMLN); Waqar Ahmad Kahn Daha (0W/1C, IND); Sohail Sikandar Khan Daha (0W/1C, IND)",P01457|P03043|P04679|P04680|P06805
F0295,faheem,hyderabad|old hyderabad,2,2,4,1997-2013,"Makhdoom Muhammad Ameen Faheem (3W/3C, PPP); Makhdoom M. Amin Faheem (1W/1C, PPP)",P01707|P03406
F0439,sheraz,dg khan|taunsa,2,2,4,2002-2024,"Khawja Sheraz Mehmood (3W/4C, IND|PMLQ|PPP|PTI); Kh. Sheraz Mehmood (1W/1C, PMLQ)",P03115|P04733
F0454,gilani,bahawalpur,4,2,4,2002-2024,"Makhdoom Syed Sami ul Hassan Gillani (2W/5C, Bahawalpur National Awami Party|IND|PMLN|PMLQ|PTI); Makhdoomzada Syed Ali Hassan Gilani (2W/5C, PMLN|PMLQ|PPP); Syed Sohail Hassan Gilani (0W/1C, IND); Mukhdoom Sohail Hassan Gilani (0W/1C, IND)",P03178|P03179|P04791|P04793
F0475,bughio,larkana,5,2,4,2002-2024,"Nazir Ahmed Bughio (3W/4C, IND|PPP); Hizbullah Bughio (1W/4C, IND|PPP); Sarfaraz Ali Bughio (0W/1C, PMLF); Ghulam Murtaza Bughio (0W/1C, IND); Muhammad Ali Bughio (0W/3C, IND)",P03316|P04922|P07410|P07423|P13924
F0613,qayyum|nahra,gujranwala,2,2,4,2008-2024,"Azhar Qayyum Nahra (3W/3C, PMLN); Haji Mudassar Qayyum Nahra (1W/1C, IND)",P04382|P05972
F0001,ghurki,lahore,3,2,3,1993-2018,"Samin Khalid Ghurki (2W/5C, IND|PPP); Ch. Khalid Javed Ghurki (1W/2C, PPP); Sohail Asghar Ghurki (0W/1C, IND)",P00016|P01360|P02708
F0005,manj|munj,shekhupura,6,2,3,1993-2024,"Khurram Munawar Manj (2W/5C, IND|PMLQ|PPP); Haji Munawar Hussain Manj (1W/5C, IND|PPP); M. Khan Manj (0W/1C, IND); Ch. M. Khan Manj (0W/1C, IND); Imran Yousaf Munj (0W/1C, IND); Sohail Anwar Manj (0W/1C, IND)",P00029|P00035|P01368|P02916|P02922|P04555
F0023,hayat|bosan,multan,7,2,3,1993-2024,"Haji Sikandar Hayat Bosan (2W/5C, IND|PMLN|PMLQ); Skindar Hayyat Khan Bosan (1W/1C, PMLN); Arif Mansoor Hayat (0W/1C, IND); Rana Shaukat Hayat (0W/1C, PPP); Sheikh Khizar Hayat (0W/1C, MMA); Zafar Ali Bosan (0W/1C, IND); Shoukat Hayat Khan Bosan (0W/2C, IND)",P00102|P00125|P01426|P02993|P06731|P06736|P13523
