cluster_id,family_tokens,districts,n_members,n_winners,total_wins,span,members,member_ids
F0801,qadoos,sialkot,2,0,0,2013-2024,"Rana Abdul Qadoos Khan (0W/1C, IND); Waqas Qadoos (0W/1C, PNP)",P06121|P12593
F0803,gondal,sialkot,2,0,0,2013-2024,"Bilal Hussain Gondal (0W/1C, IND); Choudhary Bilal Hussain Gondal (0W/1C, IND)",P06140|P12612
F0804,saddique,gujranwala|narowal,2,0,0,2013-2024,"Amir Saddique Malik Advocate (0W/2C, IND|Pakistan Tehreek-e-Insaf Nazriati); Muhammad Saddique Chaudhary (0W/4C, IND|PPP|PTI)",P06163|P06170
F0805,butt,narowal,2,0,0,2013-2018,"Khawaja Muhammad Nadeem Butt (0W/1C, IND); Anwar Ul Haq Butt (0W/2C, IND|JI)",P06167|P06181
F0806,aamir,lahore,3,0,0,2013-2018,"Aamir Siddiqi (0W/1C, IND); Aamir Rasheed (0W/1C, ST); MIAN AAMIR ABBAS (0W/1C, AAT)",P06189|P06315|P10421
F0807,bajwa,lahore,2,0,0,2013-2024,"Abdul Qayyum Bajwa (0W/1C, Tehreek-e-Tahaffuze Pakistan); Muhammad Nadeem Bajwa (0W/1C, IND)",P06192|P13212
F0808,gilani,lahore,3,0,0,2013-2018,"Syed Anjum Abbas Gillani (0W/1C, IND); Syed Manzoor Gillani (0W/3C, IND|Istiqlal Party); Muhammad Shakeel Shah Gilani (0W/1C, PPP-SB)",P06194|P06306|P06373
F0809,waris,faisalabad|khushab|lahore,2,0,0,2013-2024,"Muhammad Waris (0W/4C, IND|JI|PMML); Muhammad Rehman Waris Khan (0W/1C, IND)",P06216|P12786
F0810,mukhtiar,swabi,2,0,0,2013-2024,"Mukhtiar Ali (0W/1C, IND); Said Mukhtiar Bacha (0W/1C, IND)",P06232|P11828
F0811,naqvi,lahore,2,0,0,2013-2024,"Syed Asghar Raza Naqvi (0W/1C, IND); Marghub Husain Naqvi (0W/1C, IND)",P06236|P13152
F0812,jutt,lahore,4,0,0,2013-2024,"Ch. Amjad Ali Jutt (0W/2C, IND|PPP); Ch. Munsif Ali Jutt (0W/1C, IND); Muhammad Pervaiz Jutt (0W/1C, IND); Muhammad Asif Jutt (0W/1C, IND)",P06242|P06389|P06391|P13261
F0813,anjum|awais|islam,lahore,8,0,0,2013-2024,"Muhammad Shahzad Anjum (0W/1C, IND); Aziz Ul Islam (0W/1C, PTE); Mian Awais Anjum (0W/1C, IND); Syed Nadeem Anjum (0W/1C, Jamiat Ulama e Pakistan (Niazi)); Muhammad Naveed Anjum (0W/1C, IND); Syed Naveed Anjum (0W/1C, IND); Muhammad Awais Ijaz (0W/1C, IND); Mian Zahid islam Anjum (0W/1C, IND)",P06245|P06288|P06316|P06366|P06387|P10452|P13195|P13282
F0815,mughal,lahore,3,0,0,2013-2024,"Nasrullah Mughal (0W/1C, PTI); Kamran Akhtar Mughal (0W/1C, IND); Muhammad Ahmad Mughal (0W/1C, IND)",P06345|P06349|P13169
F0817,masih,lahore,2,0,0,2013-2013,"Danial Masih (0W/1C, IND); Pervaiz Masih (0W/1C, Pakistan National Democratic Party)",P06357|P06401
F0818,sindhu|mansha,jhang|khanewal|lahore,4,0,0,2013-2024,"Muhammad Mansha (0W/4C, IND|PMML|PTI); Ch. Qasim Asghar Sindhu (0W/1C, IND); Shahid Javed Anwer Sindhu Advocate (0W/1C, IND); Ch Muhammad Mansha Sindhu (0W/1C, PTI)",P06358|P06381|P06393|P10456
F0819,pahat,lahore,2,0,0,2013-2024,"Afzaal Azeem Pahat (0W/2C, IND); Nadeem Iqbal Pahat (0W/1C, IND)",P06400|P06409
F0820,manda,shekhupura,2,0,0,2013-2024,"Ali Asghar Manda (0W/1C, IND); Arshad Mahmood Munda (0W/2C, IND)",P06456|P06467
F0821,baber,shekhupura,2,0,0,2013-2024,"Zaheer Baber (0W/1C, JI); Malik Baber Ali (0W/1C, IND)",P06462|P13098
F0822,nazia,shekhupura,2,0,0,2013-2013,"Nazia Lateef (0W/1C, IND); Madam Nazia Latif (0W/1C, IND)",P06481|P06520
F0824,amir,shekhupura,3,0,0,2013-2024,"Maria Amir (0W/1C, IND); Muhammad Ehtsham Amir U Din (0W/1C, IND); Ali Amir Joyia (0W/1C, IND)",P06510|P06518|P13134
F0825,bhatti,nankana sahib|shekhupura,3,0,0,2013-2024,"Hussain Shahjahan Bhatti (0W/1C, IND); Rai Shahjahan Ahmad Khan Bhatti (0W/1C, PPP); Shahjahan Ahmad Bhatti (0W/2C, PPP)",P06525|P10367|P13090
F0826,tufail,kasur,2,0,0,2013-2024,"Amjad Ali Tufail (0W/3C, IND); RASHID TUFAIL (0W/2C, IND|PTI)",P06540|P10503
F0827,safdar,kasur,2,0,0,2013-2024,"Safdar Ali (0W/1C, MQM); Chaudhary Shaheem Safdar (0W/1C, PPP)",P06557|P13307
F0828,faheem,kohat,2,0,0,2013-2024,"Syed Mohammad Faheem (0W/1C, JI); Faheem Shah (0W/1C, IND)",P06566|P11978
F0829,deen,kasur,2,0,0,2013-2013,"Zaeem U Deen Aabaid (0W/1C, IND); Azeem U Deen Zahid (0W/1C, PMLQ)",P06573|P06578
F0830,dilshad,kasur,2,0,0,2013-2018,"Rana Dilshad Ali (0W/1C, IND); DILSHAD ALI (0W/1C, TLI)",P06596|P10523
F0831,mushtaq,okara,2,0,0,2013-2024,"Muhammad Mushtaq Rehmani (0W/1C, TLP); Sumaira Mushtaq Kharal (0W/1C, PPP)",P06603|P13389
F0832,ghori,okara,2,0,0,2013-2013,"Naseer Ahmed Khan Ghori (0W/1C, IND); Fayyaz Ahmed Khan Ghori (0W/1C, IND)",P06616|P06623
F0833,sajid,okara,2,0,0,2013-2013,"Muhammad Shair Sajid (0W/1C, IND); Sajid Masieh (0W/1C, IND)",P06618|P06630
F0834,fayyaz,okara,3,0,0,2013-2018,"Fayyaz Zafar (0W/1C, IND); Mian Muhammad Fayyaz (0W/1C, IND); Fayyaz Ali (0W/1C, MQM)",P06624|P10537|P10550
F0835,watto,okara,2,0,0,2013-2024,"Mian Khurram Jahangir Wattoo (0W/4C, IND); Mian Rab Nawaz Khan Watto (0W/1C, IND)",P06636|P06652
F0836,hayat,okara,2,0,0,2013-2024,"Fakhar Hayat (0W/1C, IND); Rana Khizar Hayat Khan (0W/1C, IND)",P06638|P13393
