pid,existing,hist_name,hist_years,hist_dists,exist_years,exist_dists,evidence
P01673,Syed Kazim Ali Shah,Syed Qaim Ali Shah,1977|1990,khairpur,1997|2013|2018,khairpur|naushahro feroze|shaheed benazirabad,sq+dL15
P00386,Syed Ghous Ali Shah,Syed Ghous Ali Shah,1977,khairpur,1993|1997|2013|2018|2024,khairpur,sq+d di16 GAP16
P00391,Pir Syed Abdul Qadir Shah,Pir Syed Abdul Qadir Shah,1977|1988|1990,khairpur,1993,khairpur cum sukkur,sqL21
P00459,Syed Umed Ali Shah,Syed   Umed Ali Shah,1977|1988|1990,hyderabad|hyederabad,1993,hyderabad,sq+dL15
P00465,Haji Abdullah Halepoto,Haji Abdullah Halepota,1977|1985|1988|1990,badin,1993|1997,badin,sq+dL16
P00643,Haji M. Hanif Tayyab,Muhammad Hanif Tayyab,1977|1985|1990,karachi|muzaffargarh,1993|1997|2002,islamabad|karachi|karachi south,di+d
P00614,Syed Saeed Hassan,Syed Saeed Hassan,1977|1985,karachi,1993,karachi central,sqL15
P00686,Syed Munawar Hassan,Syed Munawar Hassan,1977|1988|1990,karachi|karachi east,1993|2002,karachi|karachi east,sq+dL17
P00604,Shah Farid-Ul-Haq,Shah Farid ul Haq,1977|1988|1990,hyderabad|karachi|karachi central,1993,karachi central,sq+dL14
P00736,Fatehyab Ali Khan,Fateh Yab Ali Khan,1977|1988,karachi|karachi east,1993|1997|2002,karachi east|mirpurkhas,sq+dL15
P00742,Mehmood Khan Achakzai,Mahmood Khan Achakzai,1977|1990,pishin|quetta,1993|1997|2002|2013|2018|2024,killa abdullah|killa abdullah cum chaman|pishin cum killa abdullah|quetta|quetta cum chagai,sq+dL19
P00000,Syed Zafar Ali Shah,Syed Zafar Ali Shah,1985|1988|1990,islamabad full|nawabshah|peshawar,1993|1997|2002|2008|2013|2018|2024,dadu|islamabad|naushero feroz|naushero feroze|nawabshah|peshawar|rawalpindi,sq+dL16
P02081,Molvi Abdul Hamid Khan,Abdul Hamid Khan,1985|1988,dadu|peshawar,1997|2002,chitral|haripur,sqL14
P01167,Haji M. Yaqoob Khan,Muhammad Yaqoob Khan,1985,mardan|peshawar,1993|1997,mardan|swabi,di+d
P01167,Haji M. Yaqoob Khan,Yaqoob Khan,1985|1990,mardan|swabi,1993|1997,mardan|swabi,sq+dL10
P00073,Amanullah Khan Jadoon,Amanullah Khan Jadoon,1985|1990,abbottabad,1993|1997|2002|2008,abbbottabad cum haripur|abbottabad|abbottabad cum haripur,sq+dL19
P00218,Syed Qasim Shah,Syed Qasim Shah,1985|1988|1990,mansehra|mansehra complete,1993|1997|2013,mansehra|mansehra cum haripur,sq+dL13
P00259,Nawabzada Salahuddin Saeed,Nawabzada Salahuddin Saeed,1985,mansehra,1993|1997|2002|2008|2013,mansehra|mansehra cum haripur|tor ghar cum mansehra,sq+dL24
P00440,Malik Said Ahmad,Said Ahmad Malik,1985|1988|1990,kohistan|mansehra kohistan,1993,kohistan,sq+dL14
P01387,Habibullah Khan,Habibullah Khan,1985|1988,bannu|di khan|quetta chagai,1997|2013,kasur|rawalpindi,sqL14
P00845,Mian Gul Aurangzeb,Miangul Aurangzeb,1985,swat,1993|1997,swat,sq+dL16
P00924,Alhaj Ghazi Said Jamal,Ghazi Said Jamal,1985|1988|1990,ta|ta orakzai agency|trial area,1993,ta orakzai agency,sq+dL14
P00977,Sultan Muhammad,Sultan Muhammad,1985,north waziristan trial area,1993|1997,ta khyber agency|ta kurram agency,sqL14
P00952,Bismillah Khan,Bismillah Khan,1985|1988|1990,pishin|ta|trial area,1993|1997|2013,ta|ta bajaur agency,sq+dL13
P00989,Haji M. Nawaz Khokhar,Muhammad Nawaz Khokhar,1985|1988|1990,islamabad|islamabad full,1993,islamabad,di+d
P00000,Syed Zafar Ali Shah,Zafar Ali Shah,1985,islamabad,1993|1997|2002|2008|2013|2018|2024,dadu|islamabad|naushero feroz|naushero feroze|nawabshah|peshawar|rawalpindi,sq+dL12
P04107,Raja M. Zafar-Ul-Haq,Raja Muhammad Zafar ul Haq,1985|1988,rawalpindi,2002,rawalpindi,sq+d di14 GAP14
P01007,Raja M. Zaheer Khan,Raja Muhammad Zaheer,1985|1988|1990,rawalpindi,1993,rawalpindi,di+d
P02369,Sheikh Rasheed Ahmad,Sheikh Rasheed Ahmad,1985|1988|1990,rawalpindi,1997|2008|2024,rawalpindi,sq+dL18
P01018,Raja Shahid Zafar,Raja Shahid Zafar,1985|1988|1990,rawalpindi,1993|1997,rawalpindi,sq+dL15
P05728,Muhammad Basharat Raja,Raja Muhammad Basharat,1985|1988,rawalpindi,2008|2013|2024,rawalpindi,sq+d di12 GAP20
P01026,Ch. Nisar Ali Khan,Chaudahry Nisar Ali Khan,1985|1990,rawalpindi,1993|1997|2002|2008|2013|2018|2024,rawalpindi,sq+dL20
P01029,Malik M. Aslam Khan,Malik Muhammad Aslam,1985|1988|1990,attock|attock complete|faisalabad|sargodha,1993|1997,attock|attok,di+d
P01044,Raja Muhammad Afzal Khan,Raja Muhammad Afzal Khan,1985|1988|1990,jhelum,1993|1997|2013,jhelum,sq+dL21
P01037,Sardar M. Ashraf Khan,Sardar Muhammad Ashraf Khan,1985|1988|1990,chakwal|jhelum,1993,chakwal,di+d
P00741,Ch. Abdul Razzaq,Choudhary Abdul Razzaq,1985,gujrat,1993,karachi east,sqL19
P02615,Ch. Ajmal Ali Khawar,Chaudhary Ajmal Ali Khawar,1985,gujrat,1997,gujrat,sq+d di22 GAP12
P01243,Syed Manzoor Hussain Shah,Syed Manzoor Hussain Shah,1985|1988|1990,gujrat|nawabshah,1993|1997,gujrat cum jhelum,sqL22
P01234,Ch. Nisar Ahmad,Chaudhary Nisar Ahmad,1985,gujrat,1993,gujrat,sq+dL18
P06053,Hafiz Munawar Hussain,Munawar Hussain,1985|1988,faisalabad|gujrat,2013,gujrat,sq+d+rare di14 GAP25
P01077,Malik M. Naeem Khan,Malik Muhammad Naeem Khan,1985|1988|1990,khushab|sargodha cum khushab|sargodha khushab,1993,sargodha cum khushab,di+d
P01074,Ch. Anwar Ali Cheema,Chaudhary Anwar Ali Cheema,1985|1988|1990,sargodha,1993|1997|2002|2008|2013,sargodha,sq+dL22
P01084,M. Maqbool Ahmad Khan,Maqbool Ahmad Khan,1985|1988,mianwali|mianwali full,1993|1997,mianwali,sq+dL16
P01088,Dr. Sher Afghan Khan Niazi,Doctor Sher Afgan Khan Niazi,1985|1988|1990,mianwali|mianwali bhakkar|mianwali full,1993|1997|2002|2008,mianwali,sq+dL19
P12819,Rasheed Akbar Khan Nawani,Rasheed Akbar Khan Nawani,1985|1988|1990,bhakkar,2024,bhakkar,sq+d+rare di22 GAP34
P02512,Nawab Amanullah Khan Sial,Nawab Amanullah Khan Siyal,1985|1990,jhang,1997,jhang,sq+dL22
P02520,Syeda Abida Hussain,Begum Syeda Abida Hussain,1985|1988|1990,jhang,1997|2008,jhang,sq+dL17
P01171,Khan M. Arif Khan,Khan Muhammad Arif Khan,1985|1988,jhang,1993,jhang,di+d
P01170,Sahabzada M. Nazeer Sultan,Sahabzada Muhammad Nazeer Sultan,1985,jhang,1993|1997|2002|2008|2013,jhang,di+d
P01120,Sardar Dildar Ahmad Cheema,Dildar Ahmad Cheema,1985|1988|1990,faisalabad,1993|2002|2018,faisalabad,sq+dL23
P00133,Akhtar Hussain Gill,Akhtar Hussain Gill,1985|1988|1990,faisalabad|khanewal|lahore,1993|2002|2013,khanewal|multan cum khanewal,sq+dL17
P02456,Rai Salahuddin Khan,Rai Salahuddin Khan,1985|1988,faisalabad,1997|2002,faisalabad,sq+dL17
P01122,Ch. M. Bashir Randhawa,Ch. Muhammad Bashir Randhawa,1985,faisalabad,1993,faisalabad,di+d
P01124,Ghulam Mustafa Bajwa,Ghulam Mustafa Bajwa,1985|1988|1990,faisalabad,1993,faisalabad,sq+dL18
P01174,Ch. Asad-Ur-Rehman,Chaudhary Asad ur Rehman,1985|1988|1990,toba tek singh,1993|1997|2002|2008|2013|2018|2024,toba tek singh,sq+dL20
P01269,Ch. Abdul Sattar,Chaudhary Abdul Sattar,1985|1990,sialkot|toba tek singh,1993|1997|2002|2008|2024,gujrat|sialkot,sq+dL19
P01344,Liaqat Ali,Mian Liaqat Ali,1985,lahore,1993,lahore,di+d
P00202,Liaqat Baloch,Liaqat Baloch,1985|1988|1990,lahore,1993|2002|2013|2018|2024,lahore|multan|muzaffargarh,sq+dL12
P01332,Qari Muhammad Zawar Bahadur,Hafiz Qari Muhammad Zawar Bahadur,1985,lahore,1993|2008|2013,lahore,sq+dL20
P00127,Mian M. Nawaz Sharif,Mian Muhammad Nawaz Sharif,1985|1988|1990,lahore|lahore full|multan|okara|sargodha|sialkot,1993|1997|2013|2024,abbbottabad cum haripur|abbottabad cum haripur|lahore|mansehra cum torghar|sargodha,sq+dL23
P01319,Irfan Saeed,Irfan Saeed,1985,lahore,1993,lahore,sq+dL10
P01318,Hafiz Salman Butt,Hafiz Salman Butt,1985|1988|1990,lahore,1993|2002|2013|2018,lahore,sq+dL10
P01326,Mian Yousaf Salahuddin,Mian Yousaf Salahuddin,1985,lahore,1993,lahore,sq+dL20
P01343,Wazir Ali Bhatti,Wazir Ali Bhatti,1985|1988|1990,lahore,1993,lahore,sq+dL14
P01348,M. Abdul Ghafoor Alwari,Molvi Abdul Ghafoor Alwari,1985|1988|1990,kasur|lahore,1993,lahore,sq+dL18
P00053,Rao Khizar Hayat,Rao Muhammad Khizar Hayat,1985,kasur,1993,kasur,di+d
P00068,Molana Moeenuddin Lakhvi,Maulana Moeenuddin Lakhvi,1985|1988|1990,kasur,1993|1997|2002,kasur,sq+dL16
P00024,Rana Tanveer Hussain,Rana Tanveer Hussain,1985|1990,sheikhupura,1993|1997|2002|2008|2013|2018|2024,sheikhupura,sq+dL18
P00430,Mushtaq Ahmad Khan,Mushtaq Ahmad Khan,1985,sheikhupura,1993|2002,hyderabad,sqL16
P00044,Rai Mansab Ali Khan,Rai Mansab Ali Khan,1985|1988|1990,multan|sheikhupura,1993|1997|2002|2008|2013,sheikhupura,sq+dL16
P01093,Bashir Ahmad Khan,Bashir Ahmad Khan,1985,sheikhupura,1993,bhakkar,sqL15
P00026,Ch. M. Anwar,Ch. Muhammad Anwar,1985|1988|1990,gujranwala|sheikhupura,1993|1997|2013|2024,faisalabad|jhang|sheikhupura,sq+dL21
P01213,Rana Nazir Ahmad Khan,Rana Nazir Ahmad Khan,1985|1988|1990,gujranwala,1993|1997|2008|2018|2024,gujranwala|gujranwalla,sq+dL18
P02584,Ch. Ijaz Ahmad,Chaudahry Ejaz Ahmad,1985|1988|1990,gujranwala,1997,gujranwala cum hafizabad,sqL17
P01290,M. Naeem-Ur-Rehman,Mian Muhammad Naeem ur Rehman,1985,sialkot,1993|1997,narowal|sialkot,di+d
P01264,Prof M. Amin Javed,Professor Amin Javed,1985,sialkot,1993|2002,sialkot,sq+dL9
P01284,Ch. Shafaat Ahmad Khan,Chaudhary Shafaat Ahmad Khan,1985|1990,sialkot,1993,narowal,sqL24
P02658,Ch. Anwar-Ul-Haq,Ch. Anwar ul Haq,1985|1988,sialkot,1997|2002|2013|2024,narowal,sqL18
P00135,Syed Fakhar Imam,Syed Fakhar Imam Shah,1985|1988|1990,khanewal|multan,1993|2002|2008|2013|2018|2024,khanewal,sq+dL18
P01457,Aftab Ahmad Khan Daha,Aftab   Ahmad Khan Daha,1985|1988|1990,khanewal|multan,1997,khanewal,sq+dL18
P00138,Pir M. Aslam Bodla,Pir Muhammad Aslam Bodla,1985|1988|1990,khanewal|multan|na khanewal,1993|2002|2008,khanewal,di+d
P00120,Khurshid Ahmad Khan Kanju,Khurshid Ahmad Khan Kanju,1985|1988,multan,1993,lodhran,sqL22
P00200,Ehsan Karim Qureshi,Mian Ehsan Karim Qureshi,1985|1990,muzaffargarh,1993,muzaffargarh,di+d
P00199,Malik Ghulam Mustafa Khar,Malik Ghulam Muhammad Murtaza Khar,1985|1988|1990,muzaffargarh,1993|1997|2002|2013|2018|2024,kot addu|lahore|muzaffaragrah|muzaffargarh,di+d
P00212,Malik Niaz Ahmad Jakhar,Malik Niaz Ahmad Jhakkar,1985|1988|1990,layyah,1993|1997|2002|2008|2024,layyah,sq+dL20
P00156,Rai Ahmad Nawaz,Rai Ahmed Nawaz,1985|1988|1990,sahiwal,1993|1997,sahiwal,sq+dL13
P00160,Raja Shahid Saeed Khan,Raja Shahid Saeed Khan,1985|1988|1990,sahiwal,1993|1997,pakpattan|sahiwal,sq+dL19
P01412,Syed Sajjad Haider,Syed Sajjad Haider,1985|1988|1990,okara,1997,okara,sq+dL16
P00092,Rao M. Afzal Khan,Rao Muhammad Afzal Khan,1985|1988,okara,1993,okara,di+d
P00096,Mian M. Yasin Khan Wattoo,Mian Muhammad Yasin Khan Wattoo,1985|1990,okara,1993,okara,di+d
P00098,Dr. Qasim Ali Wattoo,Doctor Qasim Ali Wattoo,1985,okara,1993,okara,sq+dL14
P01544,Shahzada Saeed-Ur-Rasheed Mehmood Abbasi,Shahzada Saeed ur Rasheed Mahmood   Abbasi,1985,bahawalpur,1997,bahawalpur,sq+d di35 GAP12
P01546,Raja Mukhtar Ali,Raja Mukhtar Ali,1985,bahawalpur,1997,bahawalpur,sq+d di14 GAP12
P00230,Syed Tasneem Nawaz Gardezi,Syed Tasneem Nawaz Gardezi,1985|1988|1990,bahawalpur,1993|2002|2008,bahawalpur|bahawlpur,sq+dL23
P00232,Mian Abdul Sattar Laleka,Mian Abdul Sattar Laleka,1985,bahawalnagar,1993|1997,bahawalnagar,sq+dL21
P00242,Ch. Abdul Ghafoor,Chaudhary Abdul Ghafoor,1985|1988|1990,bahawalnagar,1993|1997|2002|2008|2013,bahawalnagar|khanewal,sq+dL20
P00245,Syed Ahmad Alam Anwar,Syed Ahmad Alam Anwar,1985|1988|1990,rahim yar khan|rahimyar khan,1993,rahimyar khan,sq+dL18
P07217,Sheikh Fayyaz Ud Din,Shaikh Fayyaz Uddin,1985|1988,rahim yar khan|rahimyar khan,2013|2018|2024,rahim yar khan|rahimyar khan,sq+d+rare di17 GAP25
P00266,Sardar Rafiq Haider Khan Leghari,Sardar Rafiq Haider Khan Leghari,1985|1988|1990,rahim yar khan,1993|2013|2018,rahimyar khan,sqL28
P01581,Islamuddin Sheikh,Islam uddin Sheikh,1985|1990,sukkur,1997,sukkur,sq+dL16
P00314,Illahi Bakhsh Soomro,Ellahi Bakhsh Soomro,1985|1988|1990,jacobabad|shikarpur,1993|1997|2002|2008|2013,jacobabad,sq+dL18
P00305,Agha Atta M. Khan,Agha Atta Muhammad Khan,1985|1988,shikarpur,1993,shikarpur,di+d
P00346,Munawar Ali Shah,Syed Munawar Ali Shah,1985|1990,nawabshah,1993|1997,naushero feroz,sqL14
P00345,Syed Murad Ali Shah,Syed Murad Ali Shah,1985|1988|1990,nawabshah|toba tek singh,1993|2002|2008|2013,naushero feroz|naushero feroze,sqL16
P00333,Dil Murad Jamali,Dil Murad Jamali,1985|1988|1990,naushero feroz|nawabshah,1993|1997,naushero feroz,sq+dL14
P00374,Hakim Ali Zardari,Hakim Ali Zardari,1985|1988|1990,nawabshah,1993|1997,nawabshah,sq+dL15
P00408,Sardar Ahmad Sultan Chandio,Sardar Ahmad Sultan Chandio,1985,larkana,1993,larkana,sq+dL24
P01760,Ali Akbar Nizamani,Ali Akbar Nizamani,1985,badin,1997,badin,sq+d di16 GAP12
P00483,Syed Qurban Ali Shah,Syed Qurban Ali Shah,1985|1988|1990,tharparkar,1993|1997|2002|2008|2013,mirpurkhas|old mirpurkhas,sqL17
P01810,Abdul Hameed Khan Jatoi,Abdul Hameed Khan Jatoi,1985,dadu,1997,dadu,sq+d di20 GAP12
P05287,Qadir Bux,Qadir Bakhsh,1985,karachi,2008|2013,karachi,sq+d+rare di11 GAP23
P00612,Muzaffar Ahmad Hashmi,Muzaffar Ahmad Hashmi,1985|1988|1990,karachi|karachi central,1993|2002,karachi|karachi central,sq+dL19
P05230,Muhammad Afaque Khan,Muhammad Afaque Khan,1985|1988,karachi|karachi west,2008,karachi,sq+d di10 GAP20
P00737,Haider Ali Molji,Haider Ali Molji,1985,karachi,1993,karachi east,sqL14
P00743,Sardar Fateh M. M. Hasni,Haji Sardar Fateh Muhammad Muhammad   Hassani,1985,quetta chagai,1993|1997|2002|2008|2018|2024,chagai cum nushki cum kharan|chagai cum nushki cum kharan cum washuk|kharan cum panjgur|quetta cum chagai|quetta cum chagai cum mastung,sqL34
P02017,Sardar Wazir Ahmad Jogezai,Sardar Wazir Ahmad Jogezai,1985|1988,zhob,1997|2008,old zhob|zhob cum killa saifullah,sqL23
P00814,Mir Zafarullah Khan Jamali,Mir Zafarullah Khan Jamali,1985|1988|1990,jaffarabad|naseerabad,1993|2002|2013,jaffarabad cum nasirabad|nasirabad|old nasirabad,sqL23
P00001,Haji Ghulam Ahmad Bilour,Ghulam Ahmad Bilour,1988|1990,peshawar,1993|2008|2013|2018|2024,peshawar,sq+dL17
P02227,Sardar Ali Khan,Sardar Ali Khan,1988,peshawar,1997,peshawar,sq+dL13
P03906,Abdul Latif,Abdul Latif,1988|1990,faisalabad|peshawar,2002|2013|2018|2024,chitral|peshawar,sq+d di10 GAP12
P08838,Pirzada Nabi Amin,Pirzada Nahi Amin,1988|1990,peshawar,2013|2024,nowshera|peshawar,sq+d+rare di15 GAP23
P01276,Syed Iftikhar Hussain Gilani,Syed Iftikhar Hussain Gillani,1988|1990,kohat|rahimyar khan,1993|2002|2008,kohat,sq+dL25
P00009,Molana Shaheed Ahmad,Maulana Shaheed Ahmad,1988|1990,karak,1993,karak,sq+dL5
P00074,Jamal Khan Abbasi,Jamal Khan Abbasi,1988,abbottabad,1993,abbottabad cum haripur,sqL15
P00217,Sardar M. Yousaf,Sardar Muhammad Yousif,1988|1990,mansehra,1993|1997|2013,mansehra,sq+dL20
P00635,Molvi Ali Akbar,Maulvi Ali Akbar,1988|1990,bannu,1993,bannu,sq+dL8
P02093,Alamgir Khan,Alamgir Khan,1988,bannu,1997|2013,bannu|malakand protected area cum lower dir,sq+dL11
P00638,Khaliq Dad Khan,Khaliq Dad Khan,1988|1990,bannu|mianwali|swat,1993,bannu|swat,sq+dL13
P00846,Ubaid Ur Rehman,Obaid ur Rehman,1988|1990,swat,1993|1997|2013|2018|2024,di khan|swat|tank|tank cum di khan,sq+dL13
P02069,Dr. Mehboob-Ur-Rehman,Mehboob ur Rehman,1988|1990,swat,1997,swat cum shangla,sqL15
P00848,M. Afzal Khan,Muhammad Afzal Khan,1988|1990,swat,1993,swat,di+d
P00400,Begum Nusrat Bhutto,Begum Nusrat Bhutto,1988|1990,chitral|larkana,1993|1997,larkana,sq+dL12
P00863,Najmuddin,Najmud Din,1988|1990,dir,1993|1997,dir|upper dir cum lower dir,sq+dL9
P00977,Sultan Muhammad,Sultan Muhammad,1988,ta,1993|1997,ta khyber agency|ta kurram agency,sqL14
P00431,Dost Muhammad,Dost Muhammad,1988|1990,hyderabad|ta,1993|1997|2024,hyderabad|karachi west|mirpurkhas,sq+dL12
P00970,Malik Waris Khan,Malik Waris Khan,1988,ta,1993|2013|2018,ta|ta khyber agency,sq+dL14
P08770,Malik Roza Din,Malik Roza Din,1988,ta,2013,ta,sq+d+rare di12 GAP25
P01000,Shahid Khaqan Abbasi,Shahid Khaqan Abbasi,1988|1990,rawalpindi,1993|1997|2002|2008|2013|2018,islamabad|rawalpindi,sq+dL18
P01013,Raja Abid Hussain,Raja Abid Hussain,1988,rawalpindi,1993,rawalpindi,sq+dL15
P04982,Aftab Ahmed,Aftab Ahmad,1988|1990,nawabshah|rawalpindi,2008,nawabshah,sq+d di10 GAP18
P01033,Amir M. Khan,Amir Muhammad Khan,1988|1990,attock,1993,attock,di+d
P01034,Malik Allah Yar Khan,Malik Allah Yar Khan,1988|1990,attock,1993|2002,attock,sq+dL17
P01032,Malik Lal Khan,Malik Lal Khan,1988|1990,attock,1993|1997,attock|attok|chakwal,sq+dL12
P01048,Nawabzada Iqbal Mehdi Khan,Nawabzada Iqbal Mehdi,1988|1990,jhelum,1993|1997,jhelum,sq+dL23
P01062,Mumtaz Ahmad Kahloon,Mumtaz Ahmad Kahloon,1988,sargodha,1993,sargodha,sq+dL18
P01092,M. Zafarullah Khan,Muhammad Zafar Ullah Khan,1988,bhakkar,1993|1997,bhakkar|lahore,di+d
P01093,Bashir Ahmad Khan,Bashir Ahmad Khan,1988|1990,bhakkar,1993,bhakkar,sq+dL15
P01106,Rai M. Aslam Khan,Rana Muhammad Aslam Khan,1988|1990,faisalabad|okara,1993|2024,faisalabad|nankana sahib,sq+dL20
P01110,Alhaj Mian Nasir Ali Khan,Mian Nasir Ali Khan,1988,faisalabad,1993|1997,faisalabad,sq+dL16
P01129,Nisar Akbar Khan,Nisar Akbar Khan,1988,faisalabad,1993|2002|2008|2013,faisalabad,sq+dL14
P01128,Haji Muhammad Akram Ansari,Muhammad Akram Ansari,1988|1990,faisalabad,1993|1997|2008|2013|2018|2024,faisalabad,sq+dL19
P01139,Mehar Abdur Rasheed,Mehar Abdur Rasheed,1988|1990,faisalabad,1993,faisalabad,sq+dL17
P01133,Ch. Sher Ali,Chaudhary Sher Ali,1988|1990,faisalabad,1993|1997,faisalabad,sq+dL15
P01146,Amir Hussain Syed,Amir Hussain Syed,1988|1990,jhang,1993,jhang,sq+dL15
P01170,Sahabzada M. Nazeer Sultan,Sahibzada Muhamamd Nazir Sultan,1988|1990,jhang,1993|1997|2002|2008|2013,jhang,sq+dL28
P01173,Khalid Ahmad Khan Kharal,Khalid Ahmad Khan Kharal,1988,toba tek singh,1993|1997|2002,toba tek singh,sq+dL21
P01186,Col. Ghulam Sarwar Cheema,Colonel (R) Ghulam Sarwar Cheema,1988|1990,gujranwala,1993|1997,gujranwala,sq+dL18
P01184,Ch. Hamid Nasir Chatha,Chaudhary Hamid Nasir Chatha,1988|1990,gujranwala,1993|1997|2002|2008,gujranwala|gujranwalla,sq+dL24
P01201,Ghulam Qadir Khan,Ghulam Qadir Khan,1988,gujranwala general,1993|1997|2002,gujranwala,sqL15
P01254,Nazar Muhammad Gondal,Nazar Muhammad Gondal,1988|1990,gujrat,1993|1997|2008|2013|2018|2024,m b din|mandi bahauddin,sqL19
P02772,Akhtar Javed Pirzada,Akhtar Javed Pirzada,1988,sialkot,2002,sialkot,sq+d di18 GAP14
P01263,Amir Hussain,Amir Hussain,1988,sialkot,1993|1997,sialkot,sq+dL11
P01393,M. Hussain Ansari,Muhammad Hussain Ansari,1988|1990,kasur|lahore|lahore full,1997,kasur,di+d
P00416,Benazir Bhutto,Benazir Bhutto,1988|1990,karachi south|lahore|larkana|peshawar,1993|1997,hyderabad|larkana,sq+dL13
P02676,Dr. Qari Ashfaqullah,Doctor Qari Ashfaq Ullah,1988,lahore,1997|2013,lahore,sq+dL11
P01331,Jehangir Badar,Jahangir Badar,1988|1990,lahore,1993|2002|2008,lahore,sq+dL13
P02697,Syed Ahmad Saeed Karmani,Syed Ahmad Saeed Karmani,1988,lahore,1997|2002,lahore,sq+dL21
P00031,Ch. Nazir Ahmad Virk,Chaudhary Nazir Ahmad Virk,1988|1990,sheikhupura,1993|2002,sheikhupura,sq+dL22
P00029,Haji Munawar Hussain Manj,Munawar Hussain Manj,1988|1990,sheikhupura,1993|1997|2008|2013|2018,sheikhupura,sq+dL18
P00035,M. Khan Manj,Muhammad Khan Manj,1988|1990,sheikhupura,1993,sheikhupura,di+d
P00037,M. Arif Awan,Muhammad Arif Awan,1988|1990,sheikhupura,1993,sheikhupura,di+d
P06495,Muhammad Barjees Tahir,Muhammad Barjees Tahir,1988|1990,sheikhupura,2013|2024,nankana sahib|sheikhupura,sq+d+rare di12 GAP23
P00040,Ch. Tawakkalullah Virk,Chaudhary Tawakkal Ullah Virk,1988|1990,sheikhupura,1993|1997|2008,sheikhupura,sq+dL25
P00041,Haji Naeem Hussain Chatha,Haji Naeem Hussain Chatha,1988|1990,sheikhupura,1993|1997,sheikhupura,sq+dL18
P01394,Syeda Nelofar Mehdi,Syeda Nelofar Mehdi,1988|1990,kasur,1997,kasur,sq+dL17
P00066,Malik Ashiq Hussain,Malik Ashiq Hussain,1988,kasur,1993,kasur,sq+dL17
P00067,Sardar M. Ashiq Dogar,Sardar Muhammad Ashiq Dogar,1988|1990,kasur,1993,kasur,di+d
P00097,Manzoor Ahmad Khan,Mian Manzoor Ahmad Khan,1988,okara,1993|2008|2018,ghotki|jacobabad|layyah|mianwali|okara,sq+dL20
P00109,Syed Hamid Saeed Kazmi,Syed Hamid Saeed Kazmi,1988|1990,multan,1993|2002|2008|2018|2024,multan|rahim yar khan|rahimyar khan,sq+dL19
P03012,Malik Mukhtar Ahmad Awan,Malik Mukhtar Ahmad Awan,1988|1990,multan|multan general,2002,multan,sq+d di21 GAP12
P00121,Mirza M. Nasir Baig,Mirza Muhammad Nasir Baig,1988|1990,multan,1993|1997|2002|2008|2013,lodhran|multan cum lodhran,sqL22
P00144,Anwar-Ul-Haq Ramay,Anwar ul Haq Ramay,1988|1990,sahiwal,1993|1997|2002|2008|2024,sahiwal,sq+dL15
P00150,Mehar Ghulam Farid Kathia,Mehar Ghulam Farid Kathia,1988|1990,sahiwal,1993|1997|2002|2013|2024,sahiwal,sq+dL22
P00155,Begum Shahnaz Javed,Begum Shahnaz Javid,1988|1990,sahiwal,1993|1997|2002|2008,sahiwal,sq+dL12
P01541,Manzoor Hussain,Haji Manzoor Hussain,1988,vehari,1997|2018|2024,khanewal|lahore|layyah,sqL14
P01495,Akbar Ali Bhatti,Akbar Ali Bhatti,1988|1990,vehari,1997,vehari,sq+dL14
P02536,Ghulam Shabbir Khan,Ghulam Shabbir Khan,1988,muzaffargarh,1997|2002,toba tek singh,sqL17
P00196,Mian Atta M. Qureshi,Mian Atta Muhammad Qureshi,1988|1990,muzaffargarh,1993|1997,muzaffaragarh|muzaffargarh,di+d
P03152,Mehar Tanveer Ahmad Jangla,Mehr Tanveer Ahmad Jangla,1988,muzaffargarh,2002,muzaffargarh,sq+d di23 GAP14
P00197,Muzaffar Mehdi Hashmi,Muzaffar Mehdi Hashmi,1988,muzaffargarh,1993,muzaffargarh,sq+dL19
P00205,Dr. Syed Athar Mehdi Kazmi,Doctor Syed Athar Mehdi Kazmi,1988|1990,muzaffargarh,1993,muzaffargarh,sq+dL19
P00220,Sahabzada Faiz-Ul-Hassan,Sahibzada Faiz-ul-Hassan,1988|1990,layyah,1993|1997|2002|2008|2013|2018,layyah,sq+dL21
P03186,Muhammad Farooq Azam Malik,Muhammad Farooq Azam Malik,1988|1990,bahawalpur,2002|2008|2013|2018,bahawalpur,sq+d di15 GAP12
P03204,Syed Mumtaz Alam Gilani,Syed Mumtaz Alam Gillani,1988|1990,bahawalnagar,2002|2008,bahawalnagar,sq+d di20 GAP12
P00236,Prof. Dr. Noor M. Ghaffari,Doctor Noor Muhammad Ghaffari,1988|1990,bahawalnagar,1993|1997|2002|2008|2024,bahawalnagar,di+d
P00243,Ehsan Bari Mian Dr. Sahib,Doctor Mian Ehsan Bari,1988,bahawalnagar,1993|1997|2002|2008|2013,bahawalnagar|bahawalpur|rahimyar khan,di+d
P00250,Makhdoom Rukanuddin,Makhdoom Rukun-ud-Din,1988|1990,rahim yar khan,1993,rahimyar khan,sqL18
P00249,Makhdoom Shahabuddin,Makhdoom Shahab ud Din,1988|1990,rahim yar khan,1993|1997|2002|2008|2013|2018,rahimyar khan,sqL19
P00993,Mian Mumtaz Rabbani,Mian Mumtaz Rabbani,1988,sukkar,1993,islamabad,sqL17
P01621,Agha Masihuddin Khan,Agha Masihuddin Khan,1988,shikarpur,1997,shikarpur,sq+dL18
