pid,existing,hist_name,hist_years,hist_dists,exist_years,exist_dists,evidence
P02187,Dr. Abdul Janan,Abdul Manan,1990,ta kurram agency,1997|2002,ta birmal wana trikhel and tiarzara tehsils of south waziristan agency|ta frontier region kurram and parts of lower kurram|ta kurram agency|ta upper kurram and parts of lower khurram,sq+dL10
P00977,Sultan Muhammad,Sultan Muhammad,1990,ta south waziristan agency,1993|1997,ta khyber agency|ta kurram agency,sqL14
P00973,Ali Akbar,Ali Akbar,1990,ta khyber agency,1993|1997,ta khyber agency,sq+dL8
P02352,Malik Haji Fateh Khan,Malik Fateh Khan,1990,chakwal,1997,ta tas attached to peshawar kohat bbannu di khan tank and lakki marwat districts,sqL14
P01055,Inam-Ul-Haq Paracha,Inam ul Haq Paracha,1990,sargodha,1993|1997|2002,sargodha,sq+dL16
P01065,Anwar Kamal Pasha,Anwar Kamal Pasha,1990,sargodha,1993,sargodha,sq+dL15
P01078,Malik M. Bashir Awan,Malik Muhammad Bashir Awan,1990,sargodha cum khushab,1993,sargodha cum khushab,di+d
P01079,Sardar Shujah M. Khan,Sardar Shuja Muhammad Khan,1990,khushab,1993|1997|2008|2013,khushab,di+d
P01091,Sardar Rafiq Khan,Sardar Rafiq Khan,1990,mianwali,1993|1997,mianwali,sq+dL15
P01097,M. Zafarullah Khan Dhandla,Muhammad Zafar Ullah Khan Dhandla,1990,bhakkar,1993|1997,bhakkar,di+d
P01105,Arif Hussain,Arif Hussain,1990,faisalabad,1993,faisalabad,sq+dL11
P05828,Rai Salah-Ud-Din,Rai Salah-ud-Din,1990,faisalabad,2008,faisalabad,sq+d di13 GAP18
P01112,Mirza M. Ahmad,Mirza Muhammad Ahmad,1990,faisalabad,1993,faisalabad,di+d
P01116,Ch. M. Ilyas Ahmad,Chaudhary Muhammad Ilyas Ahmad,1990,faisalabad,1993,faisalabad,di+d
P00239,Ghulam Rasool,Qari Muhammad Ghulam Rasool,1990,faisalabad,1993|2002|2013|2018|2024,bahawalnagar|faisalabad|jhang|sheikhupura,sq+dL20
P04267,Fazal Hussain Rahi,Fazal Hussain Rahi,1990,faisalabad,2002,faisalabad,sq+d di15 GAP12
P05860,Sahibzada Haji Muhammad Fazal-E-Kareem,Sahibzada Haji Muhammad Fazal Karim,1990,faisalabad,2008,faisalabad,sq+d di18 GAP18
P05887,Sheikh Hakim Ali,Shaikh Hakim Ali,1990,jhang,2008|2013,jhang,sq+d di14 GAP18
P01193,Afzal Hussain Tarar,Afzal Hussain Tarar,1990,gujranwala,1993|1997,hafizabad,sqL17
P01198,M. Ihsanullah,Ihsan Ullah,1990,gujranwala,1993|2002,gujranwala,sq+dL10
P02572,Kh. M. Aslam Lone,Kh. Muhammad Aslam Lone,1990,gujranwala,1997,gujranwala,di+d
P01212,Ch. M. Abdullah Virk,Chaudhary Muhammad Abdullah Virk,1990,gujranwala,1993|1997|2002|2008|2013,gujranwala|gujranwalla,sq+dL28
P01226,Nawabzada Ghazanfar Ali Gul,Nawabzada Ghazanfar Ali Gul,1990,gujrat,1993|1997|2002|2008|2013|2018|2024,gujrat,sq+dL24
P01229,Ghazanfar Ali,Ghazanfar Ali,1990,gujrat,1993,gujrat,sq+dL12
P01233,Ch. Ahmad Mukhtar,Chaudhary Ahmad Mukhtar,1990,gujrat,1993|1997|2002|2008|2013,gujrat,sq+dL20
P01249,Zafarullah Tarar,Zafar Ullah Tarar,1990,gujrat,1993|1997|2002|2008|2013,m b din|mandi bahauddin|mandi bahauddin cum gujrat,sqL15
P01300,Humayun Akhtar Khan,Hamayun Akhtar Khan,1990,lahore,1993|2002|2008|2018|2024,faisalabad|lahore,sq+dL17
P01104,Mian Abdul Waheed,Mian Abdul Waheed,1990,lahore,1993|1997|2002|2008|2013|2024,faisalabad|lahore|sheikhupura,sq+dL15
P01309,Mian Ijaz Ahmad Momenjee,Mian Ijaz Ahmad Momenjee,1990,lahore,1993,lahore,sq+dL21
P01312,Salman Taseer,Salman Taseer,1990,lahore,1993|1997,lahore,sq+dL12
P01325,Mian Muhammad Shehbaz Sharif,Mian Muhammad Shahbaz Sharif,1990,lahore,1993|1997|2013|2018|2024,dg khan|karachi west|kasur|lahore|swat,sq+dL25
P00528,Abdul Hameed Khan,Abdul Hameed Khan,1990,dadu|lahore,1993,dadu,sq+dL15
P02874,Maj. (R) Faisal Naseer Khan,Major (R) Faisal Naseer Khan,1990,lahore,2002,lahore,sq+d di16 GAP12
P02684,M. Ashfaq Ch.,Muhammad Ashfaq Chaudhary,1990,lahore,1997,lahore,di+d
