year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
2024,NA-1,Chitral,Khyber Pakhtunkhwa,Abdul Latif,Independent,61944,38.1,,,11.6,10
2024,NA-2,Swat-I,Khyber Pakhtunkhwa,Amjad Ali Khan,Independent,88998,51.9,,,29.9,9
2024,NA-3,Swat-II,Khyber Pakhtunkhwa,Saleem Rehman,Independent,81490,50.1,462681,36.1,33.0,8
2024,NA-4,Swat-III,Khyber Pakhtunkhwa,Sohail Sultan,Independent,88085,56.2,,,42.8,20
2024,NA-5,Upper Dir,Khyber Pakhtunkhwa,Sahibzada Sibghat Ullah,Independent,91165,44.3,590433,36.1,20.4,11
2024,NA-6,Lower Dir-I,Khyber Pakhtunkhwa,Muhammad Bashir Khan,Independent,81229,49.1,457075,36.9,14.4,11
2024,NA-7,Lower Dir-II,Khyber Pakhtunkhwa,Mehboob Shah,Independent,84670,49.0,,,31.0,16
2024,NA-8,Bajaur,Khyber Pakhtunkhwa,Mubarak Zeb Khan,Independent,74011,40.6,,,14.6,7
2024,NA-9,Malakand,Khyber Pakhtunkhwa,Junaid Akbar,Independent,113545,57.8,468451,43.1,37.1,15
2024,NA-10,Buner,Khyber Pakhtunkhwa,Gohar Ali Khan,Independent,110954,54.5,562252,37.3,39.2,8
2024,NA-11,Shangla,Khyber Pakhtunkhwa,Amir Muqam,Pakistan Muslim League (N),61204,41.1,465602,32.6,4.0,16
2024,NA-12,Kohistan Upper-cum-Kohistan Lower-cum-Kolai Palas Kohistan,Khyber Pakhtunkhwa,Malak Muhammad Idress,Independent,28010,27.7,,,4.9,14
2024,NA-13,Battagram,Khyber Pakhtunkhwa,Muhammad Nawaz Khan,Independent,32647,35.7,328902,28.5,12.1,11
2024,NA-14,Mansehra-I,Khyber Pakhtunkhwa,Sardar Muhammad Yousaf Zaman,Pakistan Muslim League (N),115642,45.5,,,4.8,8
2024,NA-15,Mansehra-cum-Torghar,Khyber Pakhtunkhwa,Shahzada Muhammad Gushtasap Khan,Independent,105259,44.1,645049,38.4,10.4,15
2024,NA-16,Abbottabad-I,Khyber Pakhtunkhwa,Ali Asghar Khan,Independent,105300,43.5,,,7.7,17
2024,NA-17,Abbottabad-II,Khyber Pakhtunkhwa,Ali Khan Jadoon,Independent,97366,56.2,398195,44.4,30.4,11
2024,NA-18,Haripur,Khyber Pakhtunkhwa,Omar Ayub Khan,Independent,194157,55.3,724915,49.9,23.1,16
2024,NA-19,Swabi-I,Khyber Pakhtunkhwa,Asad Qaiser,Independent,115719,54.4,,,32.9,16
2024,NA-20,Swabi-II,Khyber Pakhtunkhwa,Shahram Khan Tarakai,Independent,123828,57.6,,,35.2,10
2024,NA-21,Mardan-I,Khyber Pakhtunkhwa,Mujahid Ali,Independent,119068,51.2,,,28.7,11
2024,NA-22,Mardan-II,Khyber Pakhtunkhwa,Muhammad Atif Khan,Independent,115935,53.8,,,22.7,17
2024,NA-23,Mardan-III,Khyber Pakhtunkhwa,Ali Muhammad Khan,Independent,102188,51.6,458114,44.3,34.5,11
2024,NA-24,Charsadda-I,Khyber Pakhtunkhwa,Malik Anwar Taj,Independent,89841,46.4,504270,39.4,21.3,9
2024,NA-25,Charsadda-II,Khyber Pakhtunkhwa,Fazal Muhammad Khan,Independent,100742,45.9,562398,39.9,14.9,13
2024,NA-26,Mohmand,Khyber Pakhtunkhwa,Sajid Khan S/O Sultan,Independent,41502,44.2,359045,27.3,22.9,12
2024,NA-27,Khyber,Khyber Pakhtunkhwa,Muhammad Iqbal Khan,Independent,85647,63.0,636349,21.9,49.0,14
2024,NA-28,Peshawar-I,Khyber Pakhtunkhwa,Noor Alam Khan,Jamiat Ulema-e-Islam (F),138389,57.4,396045,62.1,30.4,13
