year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1993,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),Syed Zafar Ali Shah,Pakistan Peoples Party Parliamentarians,40343,44.9,248765,36.9,5.1,9
1993,NA-2,Peshawar 2,Khyber Paktunkhwa (NWFP),Arbab M. Jehangir Khan,Pakistan Peoples Party Parliamentarians,27345,43.4,174391,36.6,10.4,6
1993,NA-3,Peshawar-Cum-Nowshera,Khyber Paktunkhwa (NWFP),Arbab M. Zahir,Awami National Party,36134,45.3,226079,35.8,7.0,3
1993,NA-4,Nowshera,Khyber Paktunkhwa (NWFP),Maj. Gen. (R) Naseerullah Khan Babar,Pakistan Peoples Party Parliamentarians,36116,43.7,207538,40.5,7.4,4
1993,NA-5,Charsadda,Khyber Paktunkhwa (NWFP),Asfandyar Wali Khan,Awami National Party,56164,46.3,342603,36.1,0.9,3
1993,NA-6,Mardan 1,Khyber Paktunkhwa (NWFP),Khanzada Khan,Pakistan Peoples Party Parliamentarians,38525,47.3,240977,34.3,16.7,3
1993,NA-7,Mardan 2,Khyber Paktunkhwa (NWFP),Haji M. Yaqoob Khan,Pakistan Peoples Party Parliamentarians,33119,39.2,256184,33.5,0.5,3
1993,NA-8,Swabi,Khyber Paktunkhwa (NWFP),Qazi Molana Fazlullah,Islami Jamhoori Mahaz,55055,50.7,312751,35.3,5.3,4
1993,NA-9,Kohat,Khyber Paktunkhwa (NWFP),Syed Iftikhar Hussain Gilani,Pakistan Muslim League (Nawaz),31863,34.2,345510,27.4,4.6,7
1993,NA-10,Karak,Khyber Paktunkhwa (NWFP),Molana Shaheed Ahmad,Jamiat Ulama-e-Islam (Sami),24519,41.3,171858,35.1,8.8,7
1993,NA-11,Abbottabad-Cum-Haripur 1,Khyber Paktunkhwa (NWFP),Sardar Mehtab Ahmad Khan,Pakistan Muslim League (Nawaz),63278,58.2,264303,42.0,21.3,3
1993,NA-12,Abbottabad-Cum-Haripur 1,Khyber Paktunkhwa (NWFP),Mian M. Nawaz Sharif,Pakistan Muslim League (Nawaz),73509,71.7,265269,39.4,44.2,3
1993,NA-13,Haripur,Khyber Paktunkhwa (NWFP),Gohar Ayub Khan,Pakistan Muslim League (Nawaz),69386,72.1,245350,39.8,44.2,2
1993,NA-14,Mansehra 1,Khyber Paktunkhwa (NWFP),Sardar M. Yousaf,Pakistan Muslim League (Nawaz),58191,62.5,248354,38.2,25.0,2
1993,NA-15,Mansehra 2,Khyber Paktunkhwa (NWFP),Nawabzada Salahuddin Saeed,Pakistan Muslim League (Nawaz),22882,38.6,222827,27.0,7.4,6
1993,NA-16,Battagram-Cum-Mansehra,Khyber Paktunkhwa (NWFP),Haji M. Ayub Khan,Pakistan Muslim League (Nawaz),14226,40.1,91530,39.8,5.0,5
1993,NA-17,Kohistan,Khyber Paktunkhwa (NWFP),Malik Said Ahmad,Independents,5997,27.4,156606,14.3,1.0,7
1993,NA-18,Dera Ismail Khan-Cum-Tank,Khyber Paktunkhwa (NWFP),Molana Fazal-Ur-Rehman,Islami Jamhoori Mahaz,59233,37.3,419717,38.5,3.1,8
1993,NA-19,Bannu,Khyber Paktunkhwa (NWFP),Syed Abbas Shah,Pakistan Muslim League (Nawaz),23615,38.8,208183,29.7,4.5,8
1993,NA-20,Lakki Marwat-Cum-Bannu,Khyber Paktunkhwa (NWFP),M. Kabir Khan,Pakistan Muslim League (Nawaz),35033,38.7,235617,39.1,0.3,7
1993,NA-21,Swat 1,Khyber Paktunkhwa (NWFP),Mian Gul Aurangzeb,Pakistan Muslim League (Nawaz),32533,45.9,225939,32.1,9.8,4
1993,NA-22,Swat 2,Khyber Paktunkhwa (NWFP),M. Afzal Khan,Paktunkhwa Qaumi Party,41168,45.9,280437,32.7,9.9,4
1993,NA-23,Buner-Cum-Swat,Khyber Paktunkhwa (NWFP),Abdul Matin Khan,Awami National Party,22151,30.2,267200,28.2,8.0,5
1993,NA-24,Chitral,Khyber Paktunkhwa (NWFP),Molana Abdur Rahim,Pakistan Islamic Front,16275,28.5,121297,48.7,0.9,5
1993,NA-25,Dir,Khyber Paktunkhwa (NWFP),Sahabzada Fatehullah,Pakistan Islamic Front,38687,44.9,312734,28.2,9.4,4
1993,NA-27,Tribal Area 1 - Mohmand Agency,Islamabad and FATA,Baroz,Independents,1786,42.0,9439,47.1,27.8,28
1993,NA-28,Tribal Area 2 - Kurram Agency,Islamabad and FATA,Zulfiqar Ali,Independents,717,52.5,1507,91.3,15.0,29
1993,NA-29,Tribal Area 3 - Orakzai Agency,Islamabad and FATA,M. Afzal,Independents,2425,43.9,8605,66.1,9.7,10
1993,NA-30,Tribal Area 4 - North Waziristan Agency,Islamabad and FATA,Arsala Khan,Independents,585,53.6,1491,74.0,10.9,11
1993,NA-31,Tribal Area 5 - South Waziristan Agency,Islamabad and FATA,Abdul Qayoom Khan,Independents,677,63.7,1226,88.4,31.4,5
1993,NA-32,Tribal Area 6 - Bajaur Agency,Islamabad and FATA,Bismillah Khan,Independents,1467,36.6,7330,57.4,13.0,11
1993,NA-33,Tribal Area 7 - Khyber Agency,Islamabad and FATA,Haji M. Shah,Independents,1215,42.2,4158,71.7,18.1,27
1993,NA-35,Islamabad,Islamabad and FATA,Haji M. Nawaz Khokhar,Pakistan Muslim League (Nawaz),59308,49.3,211821,57.5,8.1,11
1993,NA-36,Rawalpindi 1,Punjab,Shahid Khaqan Abbasi,Pakistan Muslim League (Nawaz),76596,57.3,274740,49.1,23.5,5
1993,NA-37,Rawalpindi 2,Punjab,Ch. M. Riaz,Pakistan Muslim League (Nawaz),72124,50.2,273969,53.1,8.9,4
1993,NA-38,Rawalpindi 3,Punjab,Sheikh Rashid Ahmad,Pakistan Muslim League (Nawaz),80758,55.8,315446,46.2,18.6,9
1993,NA-39,Rawalpindi 4,Punjab,M. Ijaz-Ul-Haq,Pakistan Muslim League (Nawaz),87676,55.2,314219,50.8,14.5,5
1993,NA-40,Rawalpindi 5,Punjab,Ch. Nisar Ali Khan,Pakistan Muslim League (Nawaz),76288,51.6,246473,60.7,7.8,3
1993,NA-41,Attock 1,Punjab,Aftab Ahmad Sheikh,Pakistan Muslim League (Nawaz),70671,53.8,256146,52.0,12.7,4
1993,NA-42,Attock 2,Punjab,Malik Lal Khan,Pakistan Muslim League (Nawaz),60460,37.7,291234,56.0,5.1,4
1993,NA-43,Chakwal 1,Punjab,Lt. Gen. (R) Malik Abdul Majid,Pakistan Muslim League (Nawaz),77483,48.9,293058,54.7,6.6,4
1993,NA-44,Chakwal 2,Punjab,Sardar Mumtaz Khan,Pakistan Peoples Party Parliamentarians,77185,49.4,281304,56.2,5.6,4
1993,NA-45,Jhelum 1,Punjab,Raja M. Afzal Khan,Pakistan Muslim League (Nawaz),64632,49.4,231525,57.1,2.4,4
1993,NA-46,Jhelum 2,Punjab,Nawabzada Iqbal Mehdi Khan,Pakistan Muslim League (Nawaz),58136,50.9,227962,50.7,4.2,3
1993,NA-47,Sargodha 1,Punjab,Brig. (R) Ghulam Hussain Cheema,Pakistan Muslim League (Nawaz),59279,50.4,248940,47.8,6.0,5
1993,NA-48,Sargodha 2,Punjab,Liaqat Hayat Badrana,Pakistan Peoples Party Parliamentarians,57757,51.7,261303,43.4,16.1,5
1993,NA-49,Sargodha 3,Punjab,Ahmad Zia-Ur-Rehamn Khan Lak,Pakistan Muslim League (Nawaz),56017,43.0,257002,51.2,1.1,10
1993,NA-50,Sargodha 4,Punjab,Ch. Anwar Ali Cheema,Pakistan Muslim League (Nawaz),69360,49.6,264357,53.5,2.4,3
