year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1990,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),Ghulam Ahmad Bilour,ANP,51233,53.8,,,12.9,10
1990,NA-2,Peshawar 2,Khyber Paktunkhwa (NWFP),Arbab Muhammad Jehangir Khan,ANP,31222,48.4,,,18.7,4
1990,NA-3,Peshawar-Cum-Nowshera,Khyber Paktunkhwa (NWFP),Arbab Muhammad Zahir,ANP,38730,47.4,,,22.9,4
1990,NA-4,Nowshera,Khyber Paktunkhwa (NWFP),Muhammad Ajmal Khan Khattak,ANP,38389,47.0,,,15.5,4
1990,NA-5,Charsadda,Khyber Paktunkhwa (NWFP),Molvi Hassan Jan,JUI-F,66452,54.6,,,11.1,3
1990,NA-6,Mardan 1,Khyber Paktunkhwa (NWFP),Muhammad Azam Khan,ANP,35880,41.4,,,8.4,3
1990,NA-7,Mardan 2,Khyber Paktunkhwa (NWFP),Khan Mir Afzal Khan,IJI,37452,44.5,,,15.0,7
1990,NA-8,Swabi,Khyber Paktunkhwa (NWFP),Rehmanullah,ANP,51909,45.4,,,20.2,4
1990,NA-9,Kohat,Khyber Paktunkhwa (NWFP),Syed Iftikhar Hussain Gillani,PDA,27848,31.6,,,1.5,5
1990,NA-10,Karak,Khyber Paktunkhwa (NWFP),Al Haj Muhammad Aslam Khan Khattak,Independent,27866,49.8,,,23.6,6
1990,NA-11,Abbottabad 1,Khyber Paktunkhwa (NWFP),Sardar Mehtab Ahmad Khan,IJI,64541,65.9,,,33.5,4
1990,NA-12,Abbottabad 2,Khyber Paktunkhwa (NWFP),Haji Javed Iqbal Abbasi,IJI,43764,50.9,,,16.9,6
1990,NA-13,Abbottabad 3,Khyber Paktunkhwa (NWFP),Gohar Ayub Khan,IJI,52923,55.1,,,22.8,6
1990,NA-14,Mansehra 1,Khyber Paktunkhwa (NWFP),Sardar Muhammad Yousaf,Independent,34787,38.7,,,3.7,6
1990,NA-15,Mansehra 2,Khyber Paktunkhwa (NWFP),Nawabzada Salah-ud-din Saeed Khan,IJI,19109,33.1,,,5.2,9
