year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1985,NA-56,Sargodha,Punjab,Malik Muhammad Aslam Katcheela,Independent,38758,41.3,,,6.5,4
1985,NA-57,Sargodha,Punjab,Chaudhary Anwar Ali Cheema,Independent,69001,64.7,,,32.3,4
1985,NA-58,Sargodha,Punjab,Ch. Amanullah Khan Badhrana,Independent,37984,42.6,,,3.2,4
1985,NA-59,Sargodha,Punjab,Malik Nur Hayat Khan Noon,Independent,56461,58.6,,,17.2,2
1985,NA-60,Mianwali,Punjab,Maqbool Ahmad Khan,Independent,64875,63.3,,,30.6,3
1985,NA-61,Mianwali Bhakkar,Punjab,Doctor Sher Afgan Khan Niazi,Independent,61924,47.1,,,0.7,3
1985,NA-62,Bhakkar,Punjab,Amanullah Khan Shahani,Independent,68709,51.1,,,2.2,2
1985,NA-63,Jhang,Punjab,Sardarzada Muhammad Ali Shah,Independent,47487,44.6,,,2.7,4
1985,NA-64,Jhang,Punjab,Maulana Muhammad Rahmatullah,Independent,66645,60.2,,,23.7,3
1985,NA-65,Jhang,Punjab,Nawab Amanullah Khan Siyal,Independent,47575,43.2,,,2.3,6
1985,NA-66,Jhang,Punjab,Begum Syeda Abida Hussain,Independent,75063,60.4,,,20.8,2
1985,NA-67,Jhang,Punjab,Khan Muhammad Arif Khan,Independent,54549,48.4,,,4.7,3
1985,NA-68,Faisalabad,Punjab,Muhammad Anwar Ali Khan,Independent,41602,49.9,,,28.4,7
1985,NA-69,Faisalabad,Punjab,Raja Nadir Parvaiz Khan,Independent,37202,41.4,,,19.0,5
1985,NA-70,Faisalabad,Punjab,Muhammad Hanif Ansari,Independent,26055,25.6,,,5.0,5
1985,NA-71,Faisalabad,Punjab,Ch. Muhammad Nazir Ahmad,Independent,55457,54.5,,,9.4,3
1985,NA-72,Faisalabad,Punjab,Rai Salahuddin Khan,Independent,35652,40.0,,,2.3,4
1985,NA-73,Faisalabad,Punjab,Doctor Muhammad Shafiq Chaudhary,Independent,23138,26.2,,,8.6,6
1985,NA-74,Faisalabad,Punjab,Ch. Muhammad Bashir Randhawa,Independent,29054,32.6,,,0.2,5
1985,NA-75,Faisalabad,Punjab,Muhammad Ashraf Khan Lashari,Independent,56906,39.1,,,23.3,9
1985,NA-76,Faisalabad,Punjab,Muhammad Abdullah Ghazi,Independent,32771,41.5,,,2.9,3
1985,NA-77,Faisalabad,Punjab,Mian Nasir Ali Khan Baloch,Independent,35777,41.0,,,20.7,5
1985,NA-78,Toba Tek Singh,Punjab,Makhdoom Syed Ali Raza Shah,Independent,68480,58.1,,,18.5,4
1985,NA-79,Toba Tek Singh,Punjab,Chaudhary Abdul Sattar,Independent,36641,34.6,,,2.0,6
1985,NA-80,Toba Tek Singh,Punjab,Hamza,Independent,42954,38.9,,,13.8,6
1985,NA-81,Lahore,Punjab,Pir Muhammad Ashraf,Independent,28954,49.9,,,20.9,8
1985,NA-82,Lahore,Punjab,Iqbal Ahmad Khan,Independent,30979,52.6,,,15.3,5
1985,NA-83,Lahore,Punjab,Shaikh Rohail Asghar,Independent,46646,62.1,,,36.7,11
