na,candidate_name,party,votes,rank
NA-43,Dawar Khan Kundi,Independent,64575,1
NA-43,Maulana Asad Mahmood,JUI-F,64020,2
NA-43,Muhammad Ramzan,TLP,19985,3
NA-43,Abdullah,Independent,9470,4
NA-43,Anwar Saifullah Khan,PPP,5374,5
NA-43,Muhammad Imtiaz,JIP,1416,6
NA-43,Sher Bahadar Khan,Independent,221,7
NA-43,Muhammad Akbar Khan,PML-N,189,8
NA-43,Inam Ullah Khan,Independent,180,9
NA-43,Sami Ullah Khan Burki,Independent,155,10
NA-43,Arshad Mansoor Shah,ANP,152,11
NA-43,Ubaid Ur Rehman,Independent,145,12
NA-43,Asam Ud Din,Independent,136,13
NA-43,Muhammad Khalid,Independent,123,14
NA-43,Ghulam Farid,Independent,119,15
NA-43,Said Badshah,Independent,106,16
NA-43,Rehmat Khan,Independent,102,17
NA-43,Mustafa Kundi,Independent,99,18
NA-43,Ghulam Badshah,Independent,84,19
NA-43,Ghayas Ud Din,Independent,81,20
NA-43,Ghulam Qadir Khan,Independent,78,21
NA-43,Shah Noor,Independent,71,22
