na,candidate_name,party,votes,rank
NA-70,Choudhary Armghan Subhani,PML-N,123495,1
NA-70,Hafiz Hamid Raza,Independent,112145,2
NA-70,Muhammad Shahid,TLP,23929,3
NA-70,Firdous Ashiq Awan,IPP,10658,4
NA-70,Choudhary Muhammad Boota,Independent,3756,5
NA-70,Tariq Mahmood,Independent,2733,6
NA-70,Syed Ishtiaq ul Hassna Gillani,PPP,2498,7
NA-70,Sohail Qaisar,PMML,1704,8
NA-70,Usman Javed Ghumman,Independent,736,9
NA-70,Umer Shahzad Ghumman,Independent,673,10
NA-70,Umar Javed Ghumman,Independent,602,11
NA-70,Mohsin Khan,BPP,443,12
NA-70,Tahir Sultan Choudhary,Independent,371,13
NA-70,Muhammad Shahbaz,Independent,286,14
NA-70,Zahid Saleem Bajwa,Independent,258,15
NA-70,Mubashir Maqsood Awan,Independent,250,16
NA-70,Muhammad Burhan,Independent,173,17
NA-70,Muhammad Yousaf,Independent,162,18
NA-70,Muhammad Asif Raza,Independent,117,19
NA-70,Hammad Naeem,Independent,112,20
NA-70,Muhammad Azeem,Independent,79,21
NA-70,Mian Naeem Javed,Independent,66,22
NA-70,Naeem Nazir Malik,Independent,62,23
NA-70,Malik Tahir Akbar,Independent,31,24
