na,candidate_name,party,votes,rank
NA-181,Umber Majeed Niazi,Independent,120544,1
NA-181,Sahibzada Faiz ul Hassan Sewag,PML-N,95109,2
NA-181,Bahadur Ahmad Khan Sehar,PPP,70936,3
NA-181,Muhammad Shahid Iqbal,TLP,15385,4
NA-181,Altaf Hussain,Independent,11895,5
NA-181,Sahibzada Mahboob ul Hassan,Independent,5883,6
NA-181,Aiman Javed,IPP,2025,7
NA-181,Faheem Ul Hassan,Independent,1693,8
NA-181,Syed Rafaqat Ali Gillani,Independent,1327,9
NA-181,Altaf Hussain,Independent,990,10
NA-181,Muhammad Duriyab Mehwish,Independent,794,11
NA-181,Shakeela Yasmeen,PMML,743,12
NA-181,Bushra Bibi,Independent,677,13
NA-181,Waseem Ul Hassan,Independent,480,14
