na,candidate_name,party,votes,rank
NA-47,Tariq Fazal Chaudhary,PML-N,101575,1
NA-47,Muhammad Shoaib Shaheen,Independent,87105,2
NA-47,Mustafa Nawaz Khokhar,Independent,18980,3
NA-47,Syed Sibtal Haider Bukhari,PPP,15147,4
NA-47,Hafiz Khawar Ikhlas,TLP,11063,5
NA-47,Muhammad Kashif,JIP,7947,6
NA-47,Muhammad Rafiq,PTE,1975,7
NA-47,Sheeraz Kiani,Independent,1718,8
NA-47,Sania Youngs,Independent,1367,9
NA-47,Asma Muzaffar,Independent,983,10
NA-47,Asia Bibi,Independent,722,11
NA-47,Muhammad Yaqoob Alvi,PWP,715,12
NA-47,Khawar Israr Satti,Independent,249,13
NA-47,Syed Nadeem Mansur,MQM,232,14
NA-47,Syed Muhammad Mustafain Kazmi,Independent,210,15
NA-47,Syed Junaid Hussain Shah,Independent,197,16
NA-47,Muhammad Aamir,Independent,193,17
NA-47,Nasir Mehmood,PAL,180,18
NA-47,Raja Saqib Mehmood,Independent,151,19
NA-47,Muhammad Iqbal Jahan,Independent,148,20
NA-47,Muhammad Zafar,Independent,124,21
NA-47,Syed Faqir Hussain Shah Bukhari,PML-KQK,120,22
NA-47,Nayyab Ali,Independent,113,23
NA-47,Syed Masood Shah,ANP,112,24
NA-47,Farhana Qamar,Independent,104,25
NA-47,Shahana Subhan,Independent,96,26
NA-47,Ch Ilyas Mehrban,Independent,72,27
NA-47,Aamer Masood,Independent,64,28
NA-47,Khurram Shahzad,Independent,63,29
NA-47,Niaz Ullah Khan,Independent,60,30
NA-47,Raja Muhammad Mansoor Khan,Independent,52,31
NA-47,Umbreen Younis Turk,Independent,27,32
NA-47,Hashim Khan,Independent,19,33
NA-47,Nuzhat Talib,Independent,13,34
