na,candidate_name,party,votes,rank
NA-89,Muhammad Jamal Ahsan Khan Niazi,Independent,217613,1
NA-89,Obaid Ullah Khan Shadi Khel,PML-N,34573,2
NA-89,Pir Muhammad Amin Uddin Sialvi,TLP,16354,3
NA-89,Khurram Hameed Khan Rokhari,Independent,12454,4
NA-89,Nawab Malik Amir Muhammad Khan,PPP,11881,5
NA-89,Maulna Ameer Ullah Khattak,JUI-F,1701,6
NA-89,Umar Farooq Kanju,JIP,1639,7
NA-89,Imran Khan,Independent,1160,8
NA-89,Salah Ud Din,Independent,900,9
NA-89,Tasneem Gul,PMML,736,10
NA-89,Umair Khan Niazi,Independent,403,11
NA-89,Rehmat Ullah Khan Niazi,Independent,380,12
NA-89,Muhammad Sardar Bahadur Khan,SIC,371,13
NA-89,Harris Khan Niazi,Independent,337,14
NA-89,Atta Ullah Khan,JUP-IN,274,15
NA-89,Lamia Niazi,Independent,212,16
NA-89,Abdul Hameed Khan,MQM,151,17
