na,candidate_name,party,votes,rank
NA-29,Arbab Amir Ayub,Independent,68792,1
NA-29,Saqib Ullah Khan,ANP,18888,2
NA-29,Akhunzada Irfan Ullah Shah,JUI-F,10499,3
NA-29,Muhammad Shafiq Ameeni,TLP,7481,4
NA-29,Ghulam Mohyuddin Malik,JIP,5001,5
NA-29,Malik Amjad Aziz Khan,PPP,4674,6
NA-29,Sobia Shahid,PML-N,2373,7
NA-29,Syed Sagheer Abbas,Independent,1707,8
NA-29,Tahir Nadeem,Independent,1413,9
NA-29,Sardar Wali Ahmadzai,Independent,881,10
NA-29,Riaz Ahmed Jan,PML-Q,419,11
NA-29,Jamil Badshah,PMML,317,12
NA-29,Farhan Qadeer,Independent,145,13
NA-29,Saeed Khan,Independent,118,14
