na,candidate_name,party,votes,rank
NA-118,Muhammad Hamza Shehbaz Sharif,PML-N,105948,1
NA-118,Aliya Hamza Malik,Independent,100984,2
NA-118,Abid Hussain,TLP,36333,3
NA-118,Muhammad Shoukat,JIP,4136,4
NA-118,Muhammad Ijaz Malik,PMML,2984,5
NA-118,Shahid Abbas,PPP,2528,6
NA-118,Muhammad Afzal,JUI-F,1944,7
NA-118,Saba Dewan,Independent,1431,8
NA-118,Tahir Naveed,Independent,1308,9
NA-118,Muhammad Latif Khan,Independent,398,10
NA-118,Moqaddus Aleem Qureshi,Independent,149,11
NA-118,Faisal Raza,Independent,136,12
NA-118,Rizwan Zia Khan,Independent,96,13
