na,candidate_name,party,votes,rank
NA-139,Mian Ahmed Raza Maneka,PML-N,121870,1
NA-139,Rao Umar Hasham Khan,Independent,116746,2
NA-139,Ghulam Mohyu Din Arain Rizvi,TLP,26344,3
NA-139,Pir Ahmad Shah Khagga,Independent,24327,4
NA-139,Mian Humayun Sarwar Bodla,PPP,7175,5
NA-139,Rao Usman Hashim Khan,Independent,6861,6
NA-139,Tariq Qayyum Shah,Independent,3708,7
NA-139,Faheem Ahmad,Independent,1871,8
NA-139,Mian Atta Muhammad Maneka,Independent,1653,9
NA-139,Ch. Muhammad Iqbal Kamboh,PMML,1651,10
NA-139,Dr. Shaukat Ali Bhatti,JIP,1383,11
NA-139,Rao Azmat Ullah,JUP-N,697,12
NA-139,Shafiq Ahmad,Independent,662,13
NA-139,Mazhar Fareed Wattoo,Independent,360,14
NA-139,Rao Naseem Hashim Khan,Independent,321,15
NA-139,Rao Jamil Hashim Khan,Independent,280,16
NA-139,Asghar Ali,Independent,192,17
NA-139,Waqar Ahmad Khan,Independent,145,18
