na,candidate_name,party,votes,rank
NA-250,Farhan Chishti,MQM-P,79925,1
NA-250,Hafiz Naeem Ur Rehman,JIP,43659,2
NA-250,Muhammad Riaz Haider,Independent,37629,3
NA-250,Jowhar Abid,Independent,5906,4
NA-250,Sohail Mansoor Khawaja,PPP,5720,5
NA-250,Asad Jawad Khan Sherwani,TLP,3768,6
NA-250,Furqan Ali,PML-N,3315,7
NA-250,Maryum Salman,Independent,2244,8
NA-250,Tabish Tofeeq,Independent,2032,9
NA-250,Noureen Iqbal,IPP,1109,10
NA-250,Muhammad Bilal Haider,PMML,814,11
NA-250,Muhammad Khan Afridi,ANP,471,12
NA-250,Imrana Saeed Jameel,Independent,446,13
NA-250,Danish Naseem,Independent,222,14
NA-250,Sidra Imran,Independent,207,15
NA-250,Muhammad Mushtaq Ahmad,GDA,175,16
NA-250,Sara Ashfaq,PMA,123,17
NA-250,Abdul Rehman Jameel,PML-Z,117,18
NA-250,Faraz Ahmad,Independent,102,19
NA-250,Fazal Kareem,Independent,92,20
NA-250,Muhammad Behzad,Independent,84,21
NA-250,Syed Muhammad Ishrat Ghazali,PCP,64,22
NA-250,Abdul Samad Sardar,Independent,61,23
NA-250,Abu Bakar Siddique,Independent,54,24
NA-250,Muhammad Akram Tareen,PKMAP,25,25
