na,candidate_name,party,votes,rank
NA-159,Aurangzeb Khan Khichi,Independent,116302,1
NA-159,Saeed Ahmad Khan Manais,PML-N,96637,2
NA-159,Mahmood Hayat Khan Tochi Khan,PPP,26804,3
NA-159,Muhammad Iqbal,TLP,12660,4
NA-159,Syed Muhammad Athar,JUI-F,4569,5
NA-159,Abdullah Hayat Khan,Independent,1778,6
NA-159,Sajid Bashir,PMML,1612,7
NA-159,Anwar Ahmad Khan,Independent,1265,8
NA-159,Mohammad Riaz,JIP,1072,9
NA-159,Rao Dill Nawaz,Independent,349,10
NA-159,Farid Ahmed Yasin Khan,Independent,333,11
NA-159,Muhammad Alamgir Khan Khichi,Independent,275,12
NA-159,Aasim Saeed Khan,Independent,239,13
NA-159,Muhammad Farooq,Independent,232,14
NA-159,Salman Ali Bhabha,Independent,119,15
