na,candidate_name,party,votes,rank
NA-229,Jam Abdul Karim Bijar,PPP,55730,1
NA-229,Qadir Bux,PML-N,21841,2
NA-229,Wali Muhammad,Independent,14131,3
NA-229,Muhammad Ijaz,TLP,5277,4
NA-229,Mumtaz Hussain,JIP,5219,5
NA-229,Shahid Hussain,Independent,334,6
NA-229,Sajid Mahmood,ANP,231,7
NA-229,Farooq Khan,Independent,201,8
NA-229,Junaid Anwar,Independent,177,9
NA-229,Shazia Subohi,Independent,152,10
NA-229,Fouzia Hameed,MQM,148,11
NA-229,Abdul Raheem,PMML,108,12
NA-229,Bakht Amin Shah,Independent,60,13
NA-229,Erum Wahab Butt,Independent,59,14
NA-229,Sher Muhammad,Independent,43,15
