na,candidate_name,party,votes,rank
NA-115,Khurram Shahzad Wirk,Independent,130416,1
NA-115,Mian Javed Latif,PML-N,94161,2
NA-115,Nadeem Zafar,TLP,28960,3
NA-115,Muhammad Saeed Virk,Independent,4507,4
NA-115,Altaf Hussain Virk,PPP,3129,5
NA-115,Tohfa Dastgir Ahmad,JIP,2166,6
NA-115,Waqar Murtaza,PMML,1273,7
NA-115,Abdullah Tahir,Independent,1123,8
NA-115,Zulqarnain Dogar,Independent,874,9
NA-115,Shafique Ahmad,PAT,416,10
NA-115,Ahmed Raza Khan Kirmani,Independent,278,11
NA-115,Mian Muhammad Munawar Latif,Independent,265,12
NA-115,Malik Javaid Akbar,Independent,207,13
NA-115,Umar Bashir,Independent,123,14
NA-115,Mian Khalid Mahmood,Independent,116,15
NA-115,Ali Bashir,Independent,94,16
NA-115,Akhtar Iqbal Dar,PTI-N,66,17
NA-115,Tahir Zaman Virk,Independent,66,18
NA-115,Tanveer Ahsan,Independent,64,19
NA-115,Ghulam Rasool S/O Eid Muhammad,Independent,62,20
NA-115,Liaqat Ali,Independent,61,21
NA-115,Ghulam Rasool S/O Allah Ditta,Independent,61,22
NA-115,Muhammad Arif Khan Sandhila,Independent,58,23
NA-115,Muhammad Nawaz,Independent,43,24
NA-115,Muhammad Afzaal,Independent,42,25
NA-115,Muhammad Murad Bashir,Independent,39,26
NA-115,Usman Virk,Independent,33,27
