na,candidate_name,party,votes,rank
NA-207,Asif Ali Zardari,PPP,147465,1
NA-207,Sardar Sher Muhammad Rind,Independent,51925,2
NA-207,Saeed Ahmed,TLP,7633,3
NA-207,Sajjad Hussain Shah Taqvi,Independent,3066,4
NA-207,Farooq Ahmed Chandio,Independent,1894,5
NA-207,Muhammad Nadeem,Independent,1548,6
NA-207,Allah Bukhsh,Independent,392,7
NA-207,Ali Akbar Jamali,Independent,336,8
NA-207,Aamir Khan,PNP,288,9
NA-207,Faziullah Pechuho,Independent,179,10
NA-207,Shahid,Independent,168,11
NA-207,Syed Ghulam Mohiuddin Shah,Independent,166,12
NA-207,Aashiq Hussain,Independent,151,13
