na,candidate_name,party,votes,rank
NA-88,Gul Asghar Khan Baghoor,IPP,82577,1
NA-88,Muhammad Moazzam Sher Kallu,Independent,64156,2
NA-88,Muhammad Akram Khan,Independent,55015,3
NA-88,Haroon Bandial,Independent,47137,4
NA-88,Hafiz Sher Muhammad Sialvi,TLP,11613,5
NA-88,Habib Ur Rehman,Independent,4379,6
NA-88,Sultan Ahmad,JUI-F,3170,7
NA-88,Muhammad Waris,JIP,1785,8
NA-88,Muhammad Rehman Waris Khan,Independent,1211,9
NA-88,Syed Faiz Ul Hassan,Independent,761,10
NA-88,Shahid Iqbal,Independent,709,11
NA-88,Muhammad Shoaib Ahmad,PMML,638,12
NA-88,Mustafa Hussain Khan,Independent,355,13
