na,candidate_name,party,votes,rank
NA-198,Khalid Ahmad Khan Lund,PPP,120259,1
NA-198,Abdul Haque Alias Mian Mitha,Independent,90629,2
NA-198,Abdul Sattar Samo,Independent,10755,3
NA-198,Shahbaz Ahmed Khan Lund,Independent,4012,4
NA-198,Ghulam Rasool Kalwar,TLP,2605,5
NA-198,Abdul Bari Pitafi,Independent,1717,6
NA-198,Mian Rafiq Ahmed,Independent,1571,7
NA-198,Islam Khan,Independent,1175,8
NA-198,Muhammad Yaseen,MQM,901,9
NA-198,Mohammad Ishaq Laghari,Independent,825,10
NA-198,Mohammad Yousif,JIP,575,11
NA-198,Salar Ahmed Khan,Independent,163,12
NA-198,Sagheer Ahmed Khan Lund,Independent,135,13
