na,candidate_name,party,votes,rank
NA-116,Khurram Munawar Manj,Independent,135129,1
NA-116,Sardar Muhammad Arfan Dogar,PML-N,89960,2
NA-116,Pir Syed Zaheer Ul Hassan Bukhari,TLP,43253,3
NA-116,Rai Ijaz Ahmad Khan,PPP,7059,4
NA-116,Mian Asadullah,JIP,4417,5
NA-116,Muhammad Imran Hashmi,Independent,2124,6
NA-116,Ijaz Ahmad,Independent,2019,7
NA-116,Haji Chaudhary Muhammad Yaqoob Chahal,PMML,1699,8
NA-116,Maria Amir,Independent,1661,9
NA-116,Muhammad Ijaz Shahid,Independent,1657,10
NA-116,Hamza Qamar,Independent,1468,11
NA-116,Sardar Muhammad Shahzad Dogar,Independent,1049,12
NA-116,Rai Azeem Saeed,Independent,450,13
NA-116,Rana Waheed Ahmad,Independent,404,14
NA-116,Sardar Muhammad Bilal Dogar,Independent,216,15
NA-116,Ghulam Rasool,Independent,209,16
NA-116,Saif Ullah,PTI-N,199,17
NA-116,Waqas Mahmood Maan,Independent,150,18
NA-116,Shabbir Abbas,Independent,147,19
NA-116,Muhammad Shabbir,Independent,129,20
NA-116,Tahira Nazeer,Independent,83,21
NA-116,Arshad Ullah,Independent,80,22
NA-116,Sabir Hussain Bhatti,Independent,69,23
NA-116,Sana Ullah Chaudhry,Independent,54,24
NA-116,Tahir Saeed Gujjar,Independent,48,25
