na,candidate_name,party,votes,rank
NA-138,Mian Muhammad Mueen Wattoo,PML-N,122775,1
NA-138,Mian Manzoor Ahmed Khan Wattoo,Independent,79731,2
NA-138,Mian Arshad Ali,Independent,48245,3
NA-138,Muhammad Mushtaq Rehmani,TLP,17848,4
NA-138,Rai Ahmed Hassan,PPP,4922,5
NA-138,Dr. Wasim Shoukat,PMML,2001,6
NA-138,Syed Ghulam Ali Shah,Independent,1555,7
NA-138,Akhtar Hussain,JIP,858,8
NA-138,Fazal Abbas,Independent,667,9
NA-138,Fakhar Hayat,Independent,595,10
NA-138,Majid Hussain,Independent,565,11
NA-138,Muhammad Rafi,PAT,516,12
NA-138,Abrar Hussain,PMLO,466,13
NA-138,Muhammad Hussain,Independent,462,14
NA-138,Sardar Ali Haider Wattoo,Independent,357,15
NA-138,Abdul Majeed Safdar,Independent,295,16
NA-138,Javed Ahmad,Independent,236,17
NA-138,Chand Bibi,Independent,171,18
NA-138,Syed Ali Abbas Gillani,Independent,156,19
NA-138,Tahir Masood Khan,Independent,70,20
