na,candidate_name,party,votes,rank
NA-1,Abdul Latif,Independent,61944,1
NA-1,Muhammad Talha Mehmood,JUI-F,43127,2
NA-1,Fazali Rabi Jan,PPP,23766,3
NA-1,Shahzada Iftikhar Uddin,PML-N,20100,4
NA-1,Maulana Abdul Akbar Chitrali,JIP,9298,5
NA-1,Khadija Bibi,ANP,2427,6
NA-1,Pir Mukhtar Nabi,Independent,618,7
NA-1,Syeda Maimona Shah,Independent,533,8
NA-1,Asad Ur Rehman,Independent,493,9
NA-1,Muhammad Javed Khan (Retired),Independent,199,10
NA-2,Amjad Ali Khan,Independent,88998,1
NA-2,Ameer Muqam,PML-N,37772,2
NA-2,Maulana Abdul Ghafoor Arshad Haqqani,JUI-F,15523,3
NA-2,Dr. Haider Ali Khan,PPP,11632,4
NA-2,Muhammad Ayub Khan,ANP,9159,5
NA-2,Syed Naveed Iqbal,JIP,5952,6
NA-2,Mufti Syed Iqbal Hussain Qadri,TLP,1215,7
NA-2,Muhammad Mukhtar,PNAP,1103,8
NA-2,Naveed Ur Rahman,Independent,69,9
NA-3,Saleem Rehman,Independent,81490,1
NA-3,Wajid Ali Khan,PML-N,27941,2
NA-3,Doctor Sher Baz Khan,ANP,16767,3
NA-3,Dr. Malik Kaisar Khan,JUI-F,11615,4
NA-3,Akhtar Ali Khan,JIP,9455,5
NA-3,Miangul Shaharyar Amirzeb,PPP,9391,6
NA-3,Usman Ghani,PTI-P,4182,7
NA-3,Shaukat Ali,Independent,1658,8
NA-4,Sohail Sultan,Independent,88085,1
NA-4,Muhammad Saleem Khan,ANP,20997,2
NA-4,Mahmood Khan,PTI-P,17468,3
NA-4,Maulana Raheem Ullah,JUI-F,15394,4
NA-4,Fazal Subhan,JIP,7505,5
NA-4,Kamal Khan Shaman Khel,PPP,2972,6
NA-4,Syed Fazal Akbar,Independent,915,7
NA-4,Muhammad Raza Khan Qadri,TLP,907,8
NA-4,Muhammad Khan,Independent,390,9
NA-4,Malik Zada,Independent,317,10
NA-4,Muhammad Naeem,Independent,304,11
NA-4,Muhammad Musa Khan,Independent,276,12
NA-4,Muhammad Ali Shah,Independent,251,13
NA-4,Abdul Hadi Khan,Independent,242,14
NA-4,Abdul Nasir,RJUI,157,15
NA-4,Jallat,Independent,153,16
NA-4,Tal Hayyat Khan (Retired),Independent,140,17
NA-4,Shaukat Ali,Independent,116,18
NA-4,Yasir Khan (Retired),Independent,106,19
NA-4,Muhammad Ishaq,Independent,31,20
NA-5,Sahibzada Sibghat Ullah,Independent,91165,1
NA-5,Sahib Zada Tariq Ullah,JIP,49066,2
NA-5,Najam Uddin Khan,PPP,38027,3
NA-5,Muhammad Nabi,JUI-F,12778,4
NA-5,Muhammad Nisar Khan Wardak,PML-N,11471,5
NA-5,Malak Badshah Rawan,MOTP,1515,6
NA-5,Naveed Anjum Khan,RJUI,738,7
NA-5,Ghulam Ishaq,Independent,369,8
NA-5,Shah Faisal,Independent,313,9
NA-5,Inayat Ul Haq,MQM,268,10
NA-5,Muhammad Ibrahim,PTI-P,179,11
NA-6,Muhammad Bashir Khan,Independent,81229,1
NA-6,Siraj ul Haq,JIP,57458,2
NA-6,Haji Bahadur Khan,ANP,11552,3
NA-6,Muhammad Hanif,PPP,6929,4
NA-6,Muhammad Sher Khan,JUI-F,6170,5
NA-6,Roh Ullah Khan Shakir,PML-N,1118,6
NA-6,Muhammad Din Jan,Independent,394,7
NA-6,Aimal Bashir,Independent,166,8
NA-6,Fawad Ali,Independent,143,9
NA-6,Ali Shah (Retired),Independent,107,10
NA-6,Aman Ul Haq,Independent,43,11
NA-7,Mehboob Shah,Independent,84670,1
NA-7,Muhammad Ismail,JIP,31104,2
