na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-1,Chitral,Khyber Pakhtunkhwa,Abdul Latif,Independent,61944,Muhammad Talha Mehmood,JUI-F,43127,,,
NA-2,Swat-I,Khyber Pakhtunkhwa,Amjad Ali Khan,Independent,88998,Ameer Muqam,PML-N,37772,,,
NA-3,Swat-II,Khyber Pakhtunkhwa,Saleem Rehman,Independent,81490,Wajid Ali Khan,PML-N,27941,,,
NA-4,Swat-III,Khyber Pakhtunkhwa,Sohail Sultan,Independent,88085,Muhammad Saleem Khan,ANP,20997,,,
NA-5,Upper Dir,Khyber Pakhtunkhwa,Sahibzada Sibghat Ullah,Independent,91165,Sahib Zada Tariq Ullah,JIP,49066,,,
NA-6,Lower Dir-I,Khyber Pakhtunkhwa,Muhammad Bashir Khan,Independent,81229,Siraj ul Haq,JIP,57458,,,
NA-7,Lower Dir-II,Khyber Pakhtunkhwa,Mehboob Shah,Independent,84670,Muhammad Ismail,JIP,31104,,,
NA-8,Bajaur,Khyber Pakhtunkhwa,Mubarak Zeb Khan,Independent,74011,Gul Zafar Khan,SIC,47307,,,
NA-9,Malakand,Khyber Pakhtunkhwa,Junaid Akbar,Independent,113545,Syed Ahmad Ali Shah,PPP,40785,,,
NA-10,Buner,Khyber Pakhtunkhwa,Gohar Ali Khan,Independent,110954,Haji Abdur Rauf Khan,ANP,31056,,,
NA-11,Shangla,Khyber Pakhtunkhwa,Amir Muqam,PML-N,61204,Said Fareen,Independent,55312,,,
NA-12,Kohistan Upper-cum-Kohistan Lower-cum-Kolai Palas Kohistan,Khyber Pakhtunkhwa,Malak Muhammad Idress,Independent,28010,Salah Uddin Khan,JUI-F,23014,,,
NA-13,Battagram,Khyber Pakhtunkhwa,Muhammad Nawaz Khan,Independent,32647,Qari Muhammad Yousaf,JUI-F,21542,,,
NA-14,Mansehra-I,Khyber Pakhtunkhwa,Sardar Muhammad Yousaf Zaman,PML-N,115642,Muhammad Saleem Imran,Independent,103388,,,
NA-15,Mansehra-cum-Torghar,Khyber Pakhtunkhwa,Shahzada Muhammad Gushtasap Khan,Independent,105259,Mian Muhammad Nawaz Sharif,PML-N,80413,,,
