na,candidate_name,party,votes,rank
NA-32,Asif Khan S/O Ghulam Jan,Independent,122792,1
NA-32,Haji Ghulam Ahmad Bilour,ANP,45846,2
NA-32,Maulana Hussain Ahmad Madni,JUI-F,17665,3
NA-32,Abid Ullah Khan,PPP,10520,4
NA-32,Tariq Mateen,JIP,5807,5
NA-32,Haji Sher Rehman,PML-N,4814,6
NA-32,Asif Khan S/O Muhammad Ismail Khan,Independent,4128,7
NA-32,Ubaid Ullah,TLP,1774,8
NA-32,Zain Ullah,PMML,1765,9
NA-32,Sher Afzal Khan,Independent,1551,10
NA-32,Akhtar Hameed,Independent,666,11
NA-32,Javed Naseem,Independent,482,12
NA-32,Sher Afzal,Independent,388,13
NA-32,Samad Mursaleen,Independent,376,14
NA-32,Abdul Waheed Khan,PTI-P,324,15
NA-32,Zahoor Qadir,Independent,305,16
NA-32,Syed Qasim Ali Shah,Independent,264,17
NA-32,Muhammad Ashfaq,Independent,249,18
NA-32,Muhammad Saqqaf Yasir,Independent,184,19
NA-32,Ilyas Muhammad,Independent,171,20
NA-32,Khalid Masood,Independent,144,21
NA-32,Aftab Khurram,TJP,117,22
NA-32,Muhammad Rizwan Khan,Independent,80,23
NA-32,Irfan Saleem,Independent,41,24
NA-32,Malik Najab Gul Khalil,Independent,37,25
