na,candidate_name,party,votes,rank
NA-180,Mian Fiaz Hussain,Independent,96275,1
NA-180,Malik Raza Rabani Khar,PPP,49515,2
NA-180,Mufti Allah Bachaya Qadri,TLP,18960,3
NA-180,Malik Abdul Khaliq Khar,PML-N,15648,4
NA-180,Mian Tariq Ahmad Gurmani,Independent,3363,5
NA-180,Muhammad Kashif,Independent,2732,6
NA-180,Ghulam Shabbir,PRP,2038,7
NA-180,Malik Bilal Ahmad Khar,Independent,1624,8
NA-180,Mubashir Fiaz,Independent,1149,9
NA-180,Ishfaq Ahmad,Independent,1028,10
NA-180,Muhammad Zeeshan Gurmani,Independent,920,11
NA-180,Mian Aamir Sultan Goraya,Independent,821,12
NA-180,Khalil Ur Rehman Khan Gurmani,Independent,813,13
NA-180,Mahboob Ali,Independent,669,14
NA-180,Muhammad Shabbir Ali Qureshi,Independent,523,15
NA-180,Muhammad Arif Khan Baloch,Independent,505,16
NA-180,Imtiaz Hussain,Independent,496,17
NA-180,Ali Abbas Qureshi,Independent,430,18
NA-180,Muhammad Asghar,Independent,392,19
NA-180,Mussarrat Farooq Khar,Independent,202,20
NA-180,Malik Muhammad Mudassir Abbas Khar,Independent,191,21
NA-180,Zaffar Iqbal Gurmani,PIRP,109,22
NA-180,Muhammad Nadeem Kausar,Independent,105,23
NA-180,Malik Ghulam Mustafa Khar,Independent,91,24
NA-180,Ayunia Mustafa Khar,Independent,80,25
NA-180,Sooba Khan,Independent,79,26
NA-180,Muhammad Sheraz,Independent,60,27
