na,candidate_name,party,votes,rank
NA-96,Rai Haidar Ali Khan,Independent,134724,1
NA-96,Nawab Sher Waseer,PML-N,92554,2
NA-96,Syed Asif Ullah Shah Bukhari,TLP,18481,3
NA-96,Muhammad Shah Jahan Khan,PPP,12332,4
NA-96,Abdul Waheed Khan,JIP,5231,5
NA-96,Kashif Altaf,PMML,4343,6
NA-96,Imtiaz Hussain Khan,Independent,2091,7
NA-96,Muhammad Akram Choudhary,Independent,1272,8
NA-96,Haroon Touqeer Ahmed Khan,Independent,534,9
NA-96,Muhammad Tallal Badar,Independent,494,10
NA-96,Umair Wasi Chaudhary,Independent,475,11
NA-96,Munir Ahmed,Independent,312,12
NA-96,Irfan Shahid Wassir,Independent,294,13
NA-96,Riaz Ahmad,PPP-SB,293,14
NA-96,Mohammad Amir Hafeez Khokhar,Independent,283,15
NA-96,Taimoor Ali Khan,Independent,223,16
NA-96,Nasir Abbas,PTI-N,206,17
NA-96,Sadia Akhtar,Independent,175,18
NA-96,Imran Hussain,Independent,169,19
NA-96,Muhammad Mehmood Chaudhary,Independent,145,20
NA-96,Arshad Mehmood,Independent,111,21
NA-96,Zaheer Ud Din,Independent,91,22
NA-96,Muhammad Shafqat Rana,Independent,87,23
NA-96,Muhammad Ashraf Choudhary,Independent,83,24
