na,candidate_name,party,votes,rank
NA-34,Zulfiqar Ali,Independent,95704,1
NA-34,Imran Khattak,PTI-P,32732,2
NA-34,Haji Parvaiz Khan Khattak,JUI-F,26058,3
NA-34,Mian Babar Shah Kakakhel,ANP,22481,4
NA-34,Ikram Ullah,TLP,8460,5
NA-34,Muhammad Sikandar Asad,JIP,4476,6
NA-34,Muhammad Idress Khattak,PPP,4158,7
NA-34,Muhammad Kashif,PML-N,4068,8
NA-34,Amjad Hussain,Independent,4012,9
NA-34,Mufti Muhammad Sajjad,Independent,1902,10
NA-34,Muhammad Saad Khattak,PAAM,1256,11
NA-34,Shah Faisal,Independent,866,12
NA-34,Haji Akbar,Independent,746,13
NA-34,Ishfaq Ahmad,Independent,402,14
NA-34,Nadia Ambreen Khattak,Independent,387,15
NA-34,Nisar Ahmad Khttak,BPP,181,16
NA-34,Ibn e Amin,Independent,169,17
NA-34,Pirzada Nabi Amin,Independent,98,18
