na,candidate_name,party,votes,rank
NA-230,Syed Rafi Ullah,PPP,32099,1
NA-230,Masroor Ali,Independent,23370,2
NA-230,Hafiz Aurangzaib Farooqui,PRP,15593,3
NA-230,Haji Muzafar Ali Shujra,PML-N,14805,4
NA-230,Muhammad Islam,JIP,4789,5
NA-230,Muhammad Anwar,TLP,3591,6
NA-230,Zahid Iqbal,Independent,1298,7
NA-230,Asif Ali,ANP,1007,8
NA-230,Sardar Khan,Independent,580,9
NA-230,Muhammad Wali Shah,JUI-F,404,10
NA-230,Farid Ullah,Independent,377,11
NA-230,Abdul Aziz,Independent,267,12
NA-230,Riaz Raza,Independent,266,13
NA-230,Essa Khan,SKQM,200,14
NA-230,Mir Raja Khan Jakhrani,Independent,186,15
NA-230,Muhammad Ajaz Raza,Independent,171,16
NA-230,Muhammad Rafiq,Independent,98,17
NA-230,Muhammad Shoaib,Independent,85,18
NA-230,Farzana Parveen,PCP,73,19
NA-230,Amanullah Khan,Independent,61,20
NA-230,Ahsanullah,Independent,55,21
NA-230,Jamal Abdul Nasir,Independent,49,22
NA-230,Shahbaz Ali,PMA,47,23
NA-230,Abdul Razzaq,PKMAP,38,24
NA-230,Muhammad Kashif Imran,Independent,37,25
