na,candidate_name,party,votes,rank
NA-243,Abdul Qadir Patel,PPP,60266,1
NA-243,Shujaat Ali,Independent,48690,2
NA-243,Akhtar Hussain Jadoon,PML-N,19595,3
NA-243,Shiraz Khan Jadoon,JIP,13082,4
NA-243,Syed Kashif Ali Shah,TLP,12569,5
NA-243,Humayun Sultan,MQM-P,7176,6
NA-243,Abdul Raheem,PMML,1309,7
NA-243,Yousuf Khan,Independent,1090,8
NA-243,Sachanand Lakhwani Sachal,Independent,552,9
NA-243,Ghulam Mustafa,Independent,544,10
NA-243,Habib Ur Rehman,Independent,529,11
NA-243,Syed Fida Hussain Shah,Independent,361,12
NA-243,Muzaffar Ahmed,PML-SB,352,13
NA-243,Subhan Ali Sahil,Independent,227,14
NA-243,Muhammad Rahim,PKMAP,169,15
NA-243,Muhammad Moosa,Independent,159,16
NA-243,Hamid Khan Jadoon,Independent,134,17
NA-243,Faisal Somroo,Independent,114,18
NA-243,Luqman Khan Jadoon,Independent,95,19
