na,candidate_name,party,votes,rank
NA-261,Maulana Abdul Ghafoor Haidari,JUI-F,31713,1
NA-261,Sardar Muhammad Akhtar Mengal,BNP,27465,2
NA-261,Sardar Sanaullah Khan Zehri,PPP,24269,3
NA-261,Mir Kabir Ahmed,NP,11951,4
NA-261,Bahi Khan Sumalani,BAP,7047,5
NA-261,Mir Sami Ullah,Independent,2572,6
NA-261,Abdul Latif Muhammad Hassni,Independent,1355,7
NA-261,Mir Muhammad Aslam,TLP,1275,8
NA-261,Mir Attaullah Langove,PML-N,1199,9
NA-261,Muhammad Ishaque,Independent,1089,10
NA-261,Takari Shafqatullah Langove,Independent,639,11
NA-261,Ghulam Farooq,BNP-A,541,12
NA-261,Hafiz Shams Ud Din,Independent,419,13
NA-261,Mubark Khan,JUI-N,387,14
NA-261,Rameen Rustam,Independent,324,15
NA-261,Saddam Hussain,Independent,279,16
NA-261,Naseer Ahmed,MQM-P,243,17
NA-261,Hassan Ali Sasoli,Independent,198,18
NA-261,Muhammad Raza,TLI,163,19
NA-261,Bashir Ahmad,Independent,139,20
NA-261,Mir Israrullah Zehri,Independent,95,21
NA-261,Abdul Haq,Independent,89,22
NA-261,Munir Ahmed,Independent,85,23
NA-261,Muhammad Anwar Shahwani,Independent,62,24
NA-261,Muhammad Iqbal,Independent,60,25
NA-261,Zulfiqar Ali,Independent,24,26
NA-261,Muhammad Essa,JUP-N,15,27
