na,candidate_name,party,votes,rank
NA-266,Mehmood Khan Achakzai,PKMAP,67028,1
NA-266,Maulana Salahuddin,JUI-F,58439,2
NA-266,Muhibullah Kakar,ANP,38635,3
NA-266,Nazar Muhammad,PPP,9849,4
NA-266,Asmat Ullah Khan Kakar,Independent,8176,5
NA-266,Abdul Khaliq Khan,Independent,6631,6
NA-266,Muhammad Sadiq,MOTP,5634,7
NA-266,Salah Uddin S/O Abdul Wahid,Independent,3819,8
NA-266,Abdul Khaliq Khan,PML-N,980,9
NA-266,Abdul Wahid,JUI-N,724,10
NA-266,Sharaf Ud Din,JIP,638,11
NA-266,Abdul Hameed,Independent,423,12
NA-266,Mohammad Azam,PNAP,206,13
NA-266,Naseeb Ullah,Independent,89,14
NA-266,Fazal Muhammad Kakar,RJUI,40,15
NA-266,Abdul Khaliq,PRP,38,16
NA-266,Allauddin,Independent,23,17
NA-266,Hussain Ahmad,Independent,22,18
